 #  Elapsed Time    Sqr Displ.      Sqr Displ.     Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni        Atom NiV  ********
  0.00000000E+00      0.0000000      0.0000000      0.0000000         0
  0.11480023E-11      6.0240111      6.0238073      0.0002038         1
  0.48797749E-11     12.3143258     12.3137922      0.0005335         2
  0.62231602E-11     18.3900234     18.3892958      0.0007276         3
  0.26089950E-10     24.6090687     24.6078181      0.0012505         4
  0.28284338E-10     30.8706699     30.8690099      0.0016600         5
  0.34067526E-10     37.0117816     37.0088736      0.0029080         6
  0.36226834E-10     43.1943618     43.1910460      0.0033157         7
  0.41638496E-10     49.5369902     49.5347764      0.0022138         8
  0.42195747E-10     55.7512768     55.7500688      0.0012080         9
  0.45692607E-10     61.8780485     61.8768401      0.0012084        10
  0.46527639E-10     68.0524720     68.0511003      0.0013716        11
  0.52576251E-10     74.2392633     74.2378554      0.0014079        12
  0.53904326E-10     80.5590478     80.5586358      0.0004120        13
  0.57849608E-10     80.4065239     80.4058491      0.0006749        14
  0.67654903E-10     80.4574002     80.4562182      0.0011819        15
  0.73148718E-10     74.4222178     74.4218281      0.0003897        16
  0.75737267E-10     80.4573984     80.4562165      0.0011819        17
  0.80895913E-10     86.5978593     86.5965623      0.0012970        18
  0.83119827E-10     92.8159681     92.8124478      0.0035203        19
  0.83566322E-10     99.0244170     99.0202297      0.0041874        20
  0.84686234E-10    105.1738811    105.1677567      0.0061244        21
  0.85595517E-10    111.3774020    111.3733293      0.0040727        22
  0.89049736E-10    117.7103791    117.7073976      0.0029815        23
  0.95330471E-10    123.8632087    123.8608668      0.0023420        24
  0.96931866E-10    130.0727304    130.0691483      0.0035821        25
  0.10040880E-09    136.2444066    136.2390271      0.0053795        26
  0.10530724E-09    142.4054522    142.3973733      0.0080789        27
  0.10917389E-09    148.5996019    148.5872621      0.0123398        28
  0.11242591E-09    154.7015349    154.6877236      0.0138113        29
