# Time-averaged data for fix 1
# TimeStep c_msd_all[1] c_msd_all[2] c_msd_all[3] c_msd_all[4]
31000 0.0856798 0.0813667 0.054845 0.221892
32000 0.0682717 0.0681219 0.0638407 0.200234
33000 0.0784098 0.0746079 0.0642207 0.217238
34000 0.0756408 0.0639338 0.0612058 0.20078
35000 0.0725951 0.06426 0.0557449 0.1926
36000 0.0777935 0.0683485 0.0561826 0.202325
37000 0.0668604 0.0689015 0.055468 0.19123
38000 0.0759084 0.0809975 0.0567924 0.213698
39000 0.066722 0.0609068 0.0592081 0.186837
40000 0.0730423 0.0703796 0.0569201 0.200342
41000 0.085303 0.0819409 0.055669 0.222913
42000 0.0666576 0.0608255 0.0570026 0.184486
43000 0.0744605 0.0673937 0.0584096 0.200264
44000 0.0719041 0.0736858 0.0562226 0.201812
45000 0.0621468 0.0640462 0.0644487 0.190642
46000 0.0747 0.0653413 0.0708847 0.210926
47000 0.0784269 0.0708744 0.0621864 0.211488
48000 0.0742511 0.0683623 0.061139 0.203752
49000 0.0759939 0.0741836 0.0698157 0.219993
50000 0.0697126 0.0743123 0.0643519 0.208377
51000 0.0709603 0.0690667 0.063684 0.203711
52000 0.076868 0.0773992 0.0628609 0.217128
53000 0.0760957 0.0775404 0.0609868 0.214623
54000 0.0752973 0.0692672 0.0682377 0.212802
55000 0.0857962 0.0836948 0.0632396 0.232731
56000 0.083225 0.0788302 0.0629921 0.225047
57000 0.0686984 0.067835 0.0652522 0.201786
58000 0.079305 0.0726776 0.0669048 0.218887
59000 0.0788595 0.0742743 0.0656673 0.218801
60000 0.0786774 0.0725419 0.0637435 0.214963
61000 0.0899347 0.0854126 0.0644801 0.239827
62000 0.0866986 0.0741783 0.0644554 0.225332
63000 0.0807878 0.0769092 0.0664365 0.224134
64000 0.0820201 0.0915812 0.0707591 0.24436
65000 0.076422 0.0803616 0.0650492 0.221833
66000 0.0796021 0.0740446 0.069992 0.223639
67000 0.0861794 0.0825534 0.0726828 0.241416
68000 0.0833728 0.0794994 0.0673034 0.230176
69000 0.0852763 0.0760554 0.064129 0.225461
70000 0.0802628 0.0819598 0.0658321 0.228055
71000 0.0962756 0.0961361 0.0753165 0.267728
72000 0.0929201 0.0862455 0.0707722 0.249938
73000 0.0811879 0.0847138 0.0661065 0.232008
74000 0.0947452 0.106082 0.0708005 0.271628
75000 0.081202 0.0888949 0.076338 0.246435
76000 0.0833662 0.0890763 0.0773318 0.249774
77000 0.086553 0.093131 0.0759923 0.255676
78000 0.0824712 0.0934869 0.0819346 0.257893
79000 0.0896599 0.0974361 0.0764345 0.263531
80000 0.0865384 0.0881188 0.073105 0.247762
81000 0.0791232 0.0908254 0.0715914 0.24154
82000 0.0839188 0.10069 0.0742668 0.258876
83000 0.0831892 0.0966098 0.0754122 0.255211
84000 0.0810357 0.096669 0.0725364 0.250241
85000 0.087974 0.0967823 0.0790012 0.263758
86000 0.0953495 0.0996319 0.0760329 0.271014
87000 0.0954915 0.10851 0.0755702 0.279571
88000 0.0842733 0.0988938 0.0765564 0.259723
89000 0.0933014 0.104115 0.0839197 0.281336
90000 0.0862192 0.100794 0.0757059 0.262719
91000 0.089856 0.108083 0.0783043 0.276243
92000 0.0950472 0.101605 0.0771772 0.27383
93000 0.0949913 0.105911 0.0764968 0.277399
94000 0.0882319 0.107537 0.0778857 0.273655
95000 0.0858346 0.0999649 0.0850243 0.270824
96000 0.0955963 0.112512 0.0772226 0.285331
97000 0.0957232 0.102718 0.0743857 0.272827
98000 0.084549 0.107101 0.0788044 0.270455
99000 0.0927361 0.111518 0.0777101 0.281964
100000 0.0910914 0.105246 0.0773347 0.273672
101000 0.100152 0.113235 0.0788655 0.292253
102000 0.0835802 0.107617 0.0854095 0.276607
103000 0.0926549 0.107065 0.08708 0.2868
104000 0.100679 0.11311 0.0846389 0.298429
105000 0.0889359 0.100617 0.0835645 0.273117
106000 0.0928726 0.112306 0.0981378 0.303316
107000 0.0997607 0.134124 0.0827085 0.316593
108000 0.084929 0.108583 0.0898702 0.283382
109000 0.0950623 0.115359 0.0880886 0.298509
110000 0.0995753 0.111863 0.0808862 0.292325
111000 0.0853378 0.102316 0.0865525 0.274206
112000 0.0988824 0.113516 0.0905198 0.302918
113000 0.0891281 0.105388 0.0835187 0.278034
114000 0.0970411 0.116532 0.0780665 0.291639
115000 0.100853 0.10806 0.0878716 0.296784
116000 0.101556 0.116853 0.0917787 0.310187
117000 0.109183 0.10803 0.0830388 0.300251
118000 0.0924321 0.104583 0.0858338 0.282849
119000 0.101923 0.121252 0.0925583 0.315733
120000 0.106563 0.121135 0.0874671 0.315165
121000 0.0978774 0.110489 0.0871764 0.295543
122000 0.096201 0.106639 0.0906567 0.293497
123000 0.1112 0.112541 0.0912564 0.314998
124000 0.105391 0.119533 0.0949168 0.31984
125000 0.097357 0.107652 0.0851635 0.290173
126000 0.102356 0.107299 0.0934419 0.303097
127000 0.102944 0.117156 0.0867497 0.306849
128000 0.0949767 0.115103 0.0875934 0.297673
129000 0.102745 0.119764 0.0926737 0.315183
130000 0.0964305 0.116935 0.0964653 0.309831
131000 0.0964269 0.118838 0.0934533 0.308718
132000 0.118639 0.125263 0.0901568 0.334059
133000 0.0944804 0.107037 0.0890161 0.290533
134000 0.105324 0.108984 0.0918292 0.306138
135000 0.101435 0.121416 0.096323 0.319174
136000 0.0984517 0.105604 0.0822852 0.286341
137000 0.108418 0.114091 0.0876037 0.310112
138000 0.097969 0.11588 0.0966908 0.31054
139000 0.10912 0.110537 0.0947385 0.314395
140000 0.1041 0.118024 0.0947527 0.316877
141000 0.113949 0.131022 0.0929394 0.33791
142000 0.10304 0.119599 0.104504 0.327144
143000 0.110888 0.127284 0.0919417 0.330114
144000 0.107355 0.12082 0.0973445 0.325519
145000 0.106711 0.119508 0.0966209 0.32284
146000 0.108113 0.121054 0.0908523 0.32002
147000 0.104873 0.119016 0.0938376 0.317727
148000 0.110866 0.131236 0.0977784 0.33988
149000 0.110102 0.133032 0.0934002 0.336534
150000 0.103838 0.122105 0.0957052 0.321648
151000 0.105664 0.125668 0.0933893 0.324722
152000 0.116599 0.128809 0.0978411 0.343249
153000 0.106907 0.117873 0.100732 0.325513
154000 0.115101 0.117073 0.0974712 0.329645
155000 0.122856 0.128208 0.103488 0.354552
156000 0.114767 0.119361 0.107836 0.341964
157000 0.117967 0.133095 0.106675 0.357737
158000 0.106869 0.132777 0.101841 0.341487
159000 0.114314 0.120082 0.102465 0.336862
160000 0.112768 0.134138 0.0907787 0.337685
161000 0.105747 0.121896 0.0992249 0.326868
162000 0.10514 0.119087 0.0992308 0.323457
163000 0.124444 0.124371 0.100866 0.349681
164000 0.121148 0.121758 0.0977186 0.340625
165000 0.121236 0.123133 0.101309 0.345677
166000 0.113144 0.128472 0.102026 0.343642
167000 0.113475 0.126922 0.0997885 0.340186
168000 0.118329 0.133959 0.102417 0.354705
169000 0.110203 0.130968 0.0954232 0.336594
170000 0.112338 0.122657 0.0988047 0.3338
171000 0.102924 0.120425 0.0929615 0.316311
172000 0.118092 0.122673 0.0965431 0.337308
173000 0.106704 0.12785 0.101525 0.336079
174000 0.114422 0.133526 0.107525 0.355473
175000 0.11358 0.134462 0.10241 0.350452
176000 0.103466 0.125857 0.101512 0.330835
177000 0.121038 0.134592 0.100166 0.355797
178000 0.113507 0.124273 0.109281 0.347061
179000 0.113641 0.129984 0.104736 0.348362
180000 0.117591 0.127078 0.093736 0.338405
181000 0.111833 0.132663 0.104821 0.349317
182000 0.11432 0.131557 0.111189 0.357067
183000 0.109373 0.14248 0.108153 0.360006
184000 0.11679 0.128941 0.102327 0.348059
185000 0.103957 0.13757 0.105111 0.346639
186000 0.115899 0.133571 0.114488 0.363958
187000 0.112624 0.135451 0.0989832 0.347058
188000 0.1124 0.121834 0.10151 0.335743
189000 0.111864 0.132133 0.099117 0.343114
190000 0.126521 0.144481 0.101464 0.372466
191000 0.106329 0.120576 0.10252 0.329425
192000 0.11965 0.12771 0.104072 0.351433
193000 0.122458 0.132525 0.108364 0.363347
194000 0.112715 0.132223 0.100838 0.345776
195000 0.121813 0.145097 0.111166 0.378077
196000 0.1229 0.129364 0.107292 0.359556
197000 0.126737 0.143088 0.113012 0.382836
198000 0.124619 0.145926 0.115436 0.385981
199000 0.114346 0.128023 0.110897 0.353266
200000 0.117229 0.132475 0.108123 0.357828
201000 0.123164 0.141399 0.112282 0.376845
202000 0.112728 0.137752 0.113567 0.364047
203000 0.125764 0.140549 0.114562 0.380875
204000 0.130269 0.131239 0.124402 0.385911
205000 0.124943 0.130881 0.119196 0.375019
206000 0.133497 0.134153 0.118392 0.386042
207000 0.131152 0.133079 0.11367 0.3779
208000 0.117048 0.129397 0.107886 0.354331
209000 0.127497 0.141097 0.113775 0.382369
210000 0.127655 0.130629 0.108501 0.366784
211000 0.110711 0.13644 0.111851 0.359003
212000 0.125159 0.137804 0.115269 0.378232
213000 0.121572 0.143718 0.11373 0.37902
214000 0.12972 0.144287 0.116464 0.390471
215000 0.11558 0.137009 0.125144 0.377734
216000 0.125295 0.143027 0.117351 0.385673
217000 0.123873 0.142579 0.114987 0.381439
218000 0.114147 0.138411 0.120564 0.373122
219000 0.118655 0.146479 0.110617 0.375751
220000 0.131417 0.151909 0.117495 0.400821
221000 0.119735 0.131857 0.116606 0.368198
222000 0.124768 0.158361 0.126892 0.410022
223000 0.12163 0.138268 0.123165 0.383063
224000 0.125217 0.147735 0.118374 0.391325
225000 0.136582 0.144103 0.122091 0.402776
226000 0.117422 0.15158 0.123946 0.392948
227000 0.120937 0.150737 0.119824 0.391498
228000 0.112422 0.141034 0.120928 0.374384
229000 0.131368 0.153418 0.122051 0.406837
230000 0.127238 0.139169 0.126768 0.393176
231000 0.131043 0.15065 0.112354 0.394046
232000 0.132023 0.14988 0.126055 0.407959
233000 0.123893 0.147578 0.128683 0.400154
234000 0.137656 0.149325 0.124586 0.411567
235000 0.127121 0.149014 0.118647 0.394783
236000 0.138016 0.151279 0.127651 0.416946
237000 0.128021 0.149777 0.125268 0.403067
238000 0.127257 0.145334 0.125631 0.398221
239000 0.124993 0.150379 0.128499 0.403871
240000 0.121347 0.14224 0.126463 0.39005
241000 0.133428 0.154605 0.126185 0.414218
242000 0.127237 0.149632 0.127936 0.404805
243000 0.134668 0.150728 0.129592 0.414988
244000 0.133987 0.162114 0.12947 0.425571
245000 0.139281 0.156068 0.122599 0.417948
246000 0.125769 0.152825 0.128921 0.407515
247000 0.121847 0.152829 0.128613 0.40329
248000 0.134711 0.147597 0.12962 0.411928
249000 0.125021 0.152296 0.131748 0.409065
250000 0.127846 0.155017 0.1298 0.412663
251000 0.139157 0.165647 0.135797 0.440601
252000 0.127482 0.149497 0.138087 0.415066
253000 0.138216 0.157132 0.131177 0.426524
254000 0.1361 0.148356 0.127204 0.411661
255000 0.129952 0.155363 0.131492 0.416806
256000 0.137787 0.158329 0.134521 0.430637
257000 0.129722 0.153876 0.125647 0.409245
258000 0.133108 0.158481 0.134879 0.426468
259000 0.128122 0.14152 0.118577 0.388219
260000 0.127318 0.153738 0.134403 0.415459
261000 0.139236 0.158282 0.136059 0.433577
262000 0.144381 0.156934 0.140237 0.441552
263000 0.129429 0.152523 0.145965 0.427918
264000 0.135404 0.149133 0.133379 0.417917
265000 0.12944 0.160167 0.137653 0.42726
266000 0.139905 0.160252 0.130711 0.430867
267000 0.134525 0.148848 0.137636 0.421009
268000 0.138917 0.1613 0.141757 0.441974
269000 0.142923 0.154239 0.148634 0.445795
270000 0.134215 0.156403 0.140295 0.430912
271000 0.134379 0.156855 0.14541 0.436645
272000 0.127014 0.146106 0.145903 0.419023
273000 0.134924 0.15384 0.144738 0.433501
274000 0.134711 0.147099 0.134467 0.416277
