# Time-averaged data for fix 1
# TimeStep c_msd_all[1] c_msd_all[2] c_msd_all[3] c_msd_all[4]
1000 0.0191813 0.0166931 0.0172211 0.0530954
2000 0.0251111 0.0299576 0.0255759 0.0806447
3000 0.0301519 0.0297459 0.0307746 0.0906724
4000 0.0359373 0.0324908 0.0332988 0.101727
5000 0.0341465 0.0301938 0.0283691 0.0927094
6000 0.0259867 0.0311694 0.0321714 0.0893275
7000 0.0293004 0.0364874 0.0349736 0.100761
8000 0.0326261 0.0312092 0.035589 0.0994243
9000 0.037777 0.0334983 0.0296363 0.100912
10000 0.0386308 0.0313253 0.0321925 0.102149
11000 0.0313683 0.0324209 0.0324302 0.0962194
12000 0.0322245 0.0325127 0.0300543 0.0947916
13000 0.0325793 0.0310106 0.0383798 0.10197
14000 0.0348003 0.0314459 0.0483698 0.114616
15000 0.0292941 0.0365039 0.0432692 0.109067
16000 0.0362835 0.0317635 0.0476023 0.115649
17000 0.0429332 0.0404938 0.0462062 0.129633
18000 0.0425853 0.0391462 0.0408589 0.12259
19000 0.0355746 0.0300068 0.0380881 0.10367
20000 0.0280338 0.034888 0.0337828 0.0967046
21000 0.0317669 0.0334931 0.0320003 0.0972603
22000 0.0322072 0.0364882 0.0335018 0.102197
23000 0.0368436 0.0362449 0.0369471 0.110036
24000 0.0333517 0.0330242 0.036636 0.103012
25000 0.0344626 0.0359895 0.0420789 0.112531
26000 0.0274347 0.0289217 0.0414593 0.0978157
27000 0.0377898 0.0356401 0.041041 0.114471
28000 0.0298386 0.030714 0.0429734 0.103526
29000 0.0356716 0.0355766 0.042579 0.113827
30000 0.0328986 0.0318106 0.0347091 0.0994182
31000 0.0306921 0.0368671 0.0323432 0.0999024
32000 0.0321309 0.0406761 0.0332662 0.106073
33000 0.0352362 0.0372141 0.0378426 0.110293
34000 0.0300233 0.0327812 0.0322917 0.0950962
35000 0.0298131 0.0342083 0.0379702 0.101992
36000 0.0309387 0.0383327 0.0325247 0.101796
37000 0.0348165 0.0399773 0.0344919 0.109286
38000 0.0319026 0.0463616 0.0392377 0.117502
39000 0.029167 0.0479199 0.0329793 0.110066
40000 0.0407365 0.0404173 0.0389166 0.12007
41000 0.0316533 0.0309684 0.0338083 0.0964299
42000 0.0350298 0.041073 0.0441181 0.120221
43000 0.0357069 0.050633 0.0386333 0.124973
44000 0.0368321 0.0542533 0.0415554 0.132641
45000 0.0381664 0.0401501 0.0346275 0.112944
46000 0.0356105 0.0392641 0.0310646 0.105939
47000 0.0473732 0.0437848 0.0359012 0.127059
48000 0.043543 0.0456926 0.0353847 0.12462
49000 0.0416021 0.0422062 0.0369234 0.120732
50000 0.0357495 0.0346846 0.0370902 0.107524
51000 0.0387877 0.0370651 0.039172 0.115025
52000 0.0428708 0.0354007 0.0380483 0.11632
53000 0.0378862 0.0436247 0.0365049 0.118016
54000 0.0353123 0.0509261 0.0342537 0.120492
55000 0.0378115 0.0397199 0.0338382 0.11137
56000 0.0358634 0.0378925 0.0360855 0.109841
57000 0.0352832 0.0412127 0.0444172 0.120913
58000 0.0352486 0.0408802 0.0425309 0.11866
59000 0.0377775 0.0411454 0.0461434 0.125066
60000 0.0398758 0.0366985 0.046492 0.123066
