 #  Elapsed Time    Sqr Displ.      Sqr Displ.     Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni        Atom NiV  ********
  0.00000000E+00      0.0000000      0.0000000      0.0000000         0
  0.50986917E-11      6.0279410      6.0274741      0.0004669         1
  0.78926784E-11     12.1508063     12.1504329      0.0003734         2
  0.14270959E-10     18.3721149     18.3718177      0.0002972         3
  0.19689087E-10     24.5066615     24.5057899      0.0008716         4
  0.19959969E-10     30.7591051     30.7575174      0.0015878         5
  0.21850696E-10     36.9194695     36.9156643      0.0038052         6
  0.24220075E-10     43.0646273     43.0593925      0.0052348         7
  0.45137503E-10     49.2852780     49.2799461      0.0053319         8
  0.49365522E-10     55.4787206     55.4722620      0.0064585         9
  0.51593406E-10     61.6390535     61.6291556      0.0098979        10
  0.52178366E-10     67.8499622     67.8351770      0.0147852        11
  0.53726553E-10     73.9588700     73.9388218      0.0200482        12
  0.56811707E-10     80.1562258     74.0748620      6.0813638        13
  0.58124931E-10     86.2362139     74.1027253     12.1334886        14
  0.59765913E-10     91.8397143     73.9766832     17.8630311        15
  0.59939646E-10     97.9570101     74.1516570     23.8053531        16
  0.63107232E-10     91.8397040     73.9766814     17.8630226        17
  0.68967349E-10     98.2798026     74.1398545     24.1399481        18
  0.70450841E-10     91.8396880     73.9766806     17.8630075        19
  0.78116843E-10     97.9559372     74.1510785     23.8048586        20
  0.78786280E-10    104.4931137     74.2077765     30.2853372        21
  0.78811333E-10    110.5174019     74.2089580     36.3084439        22
  0.80573949E-10    116.8853009     80.3406263     36.5446745        23
  0.81000421E-10    110.5174944     74.2089538     36.3085406        24
  0.97653719E-10    116.7504493     74.2623924     42.4880569        25
  0.98736098E-10    122.8012471     74.2538719     48.5473752        26
  0.98752113E-10    128.7606301     74.3176013     54.4430288        27
  0.99015529E-10    134.9644491     74.2874049     60.6770442        28
  0.99817978E-10    128.7606119     74.3176012     54.4430107        29
  0.99861141E-10    134.9644490     74.2874043     60.6770447        30
  0.10110507E-09    128.7605946     74.3176006     54.4429940        31
  0.10197764E-09    134.9644488     74.2874037     60.6770451        32
  0.10202001E-09    140.9028598     74.2673942     66.6354657        33
  0.10437718E-09    147.0077230     74.2614763     72.7462467        34
  0.10482332E-09    153.2996960     74.2769435     79.0227525        35
  0.10650827E-09    158.3947852     74.3561192     84.0386661        36
  0.10682952E-09    164.6683253     74.3295452     90.3387801        37
  0.10770908E-09    171.7506263     74.2701886     97.4804377        38
  0.10854885E-09    178.0100910     74.2596455    103.7504454        39
  0.11536560E-09    184.2797940     74.2454451    110.0343488        40
  0.11552274E-09    190.2845056     74.2339955    116.0505101        41
  0.11614538E-09    196.2249177     74.2645618    121.9603559        42
  0.11706588E-09    202.6216899     80.3654912    122.2561987        43
  0.11754563E-09    208.8094311     80.4098614    128.3995697        44
  0.11798648E-09    215.0534174     80.4024399    134.6509775        45
  0.12138844E-09    221.2124298     86.4786494    134.7337805        46
  0.12235834E-09    227.1240976     86.7504041    140.3736934        47
  0.12267256E-09    233.3536223     87.1466634    146.2069589        48
  0.12288315E-09    227.3379960     80.4355125    146.9024835        49
  0.12299599E-09    227.4339292     80.5670216    146.8669076        50
  0.12308952E-09    227.3381396     80.4355124    146.9026271        51
  0.24408802E-09    232.8113636     80.3328835    152.4784801        52
  0.24408923E-09    239.1889904     80.4349662    158.7540242        53
  0.24675012E-09    245.5466728     86.6360313    158.9106415        54
  0.24886551E-09    251.6663704     92.7488364    158.9175340        55
  0.25537268E-09    257.8368312     98.9091201    158.9277111        56
  0.26744979E-09    251.6663427     92.7488349    158.9175079        57
  0.26876227E-09    251.7969980     92.8800909    158.9169071        58
  0.26879117E-09    251.6663690     92.7488247    158.9175443        59
  0.27019459E-09    257.8312644     98.8497006    158.9815638        60
  0.27231624E-09    263.9936102    105.0119846    158.9816256        61
  0.27319652E-09    264.0695295    105.1174347    158.9520947        62
  0.27327120E-09    276.3845280    104.9702557    171.4142723        63
  0.28557576E-09    282.4337970    111.0351979    171.3985991        64
  0.29104677E-09    288.6502903    117.2373329    171.4129575        65
  0.29542536E-09    294.8643589    123.4722674    171.3920915        66
  0.29803695E-09    300.8346350    129.4594875    171.3751476        67
  0.29924207E-09    306.8837300    135.5092432    171.3744868        68
  0.30079417E-09    313.1274035    141.7639793    171.3634242        69
  0.30185751E-09    319.2466634    147.8751308    171.3715326        70
  0.30356115E-09    325.5949013    147.8661165    177.7287847        71
  0.30439530E-09    331.8621858    154.1607009    177.7014849        72
  0.30555813E-09    338.0372639    160.2986017    177.7386623        73
  0.30578866E-09    343.6760756    160.2636269    183.4124487        74
  0.30594856E-09    361.9038134    178.5170313    183.3867821        75
  0.30644688E-09    368.2793949    184.7586990    183.5206958        76
