# Time-averaged data for fix 1
# TimeStep c_msd_all[1] c_msd_all[2] c_msd_all[3] c_msd_all[4]
1000 0.016968 0.0161314 0.018449 0.0515485
2000 0.0248178 0.0225344 0.0228678 0.0702201
3000 0.0318854 0.0268838 0.0273641 0.0861333
4000 0.0365622 0.0392119 0.0307821 0.106556
5000 0.0351644 0.0348271 0.0309074 0.100899
6000 0.0344275 0.0277786 0.0265186 0.0887247
7000 0.0389257 0.036703 0.0305766 0.106205
8000 0.0327782 0.0323597 0.0277426 0.0928806
9000 0.0377794 0.0345565 0.0300463 0.102382
10000 0.0337158 0.0454214 0.0320545 0.111192
11000 0.0374753 0.0399832 0.0368588 0.114317
12000 0.0393647 0.0316673 0.0350496 0.106082
13000 0.0331479 0.0341868 0.0343992 0.101734
14000 0.0357925 0.0370948 0.0301023 0.10299
15000 0.0306902 0.0358102 0.0254202 0.0919206
16000 0.0374048 0.0397777 0.0298589 0.107041
17000 0.0302015 0.0333374 0.0278747 0.0914136
18000 0.0348932 0.0358258 0.0273966 0.0981156
19000 0.0387258 0.0340446 0.0254093 0.0981797
20000 0.0393015 0.0414882 0.0323931 0.113183
21000 0.0346653 0.0329012 0.0305351 0.0981016
22000 0.0336814 0.0379948 0.0319309 0.103607
23000 0.0300347 0.0310142 0.0303518 0.0914007
24000 0.0359823 0.0360746 0.0312594 0.103316
25000 0.0313821 0.0331299 0.0310092 0.0955212
26000 0.0430418 0.0350688 0.0336431 0.111754
27000 0.0383188 0.0339943 0.0324178 0.104731
28000 0.0348005 0.0325705 0.0305405 0.0979116
29000 0.0370741 0.0320209 0.0304738 0.0995688
30000 0.0371544 0.032818 0.0284786 0.098451
31000 0.0400667 0.0414336 0.0338396 0.11534
32000 0.0399805 0.0368617 0.0333937 0.110236
33000 0.0377753 0.0400532 0.0307774 0.108606
34000 0.0367047 0.0347928 0.0324778 0.103975
35000 0.0388401 0.0343097 0.0329601 0.10611
36000 0.0387614 0.0377089 0.0344746 0.110945
37000 0.0338995 0.0321482 0.0278005 0.0938482
38000 0.0353707 0.0390297 0.027885 0.102285
39000 0.0321833 0.0421238 0.0333239 0.107631
40000 0.0313487 0.0457667 0.0383449 0.11546
41000 0.037282 0.0459074 0.0345703 0.11776
42000 0.0458507 0.0396451 0.0342907 0.119786
43000 0.0443496 0.0459686 0.0374118 0.12773
44000 0.0374049 0.0416412 0.0350563 0.114102
45000 0.039452 0.0441521 0.0425463 0.12615
46000 0.0443775 0.0440134 0.041396 0.129787
47000 0.035208 0.0481889 0.0402678 0.123665
48000 0.044092 0.0489019 0.0404096 0.133404
49000 0.0345034 0.0452092 0.0343507 0.114063
50000 0.0314312 0.0383649 0.0384384 0.108235
51000 0.0311142 0.0443967 0.039206 0.114717
52000 0.0406505 0.0432942 0.0414357 0.12538
53000 0.0341962 0.0452736 0.0403651 0.119835
54000 0.0373304 0.0414584 0.0402627 0.119052
55000 0.0377625 0.0460212 0.0491678 0.132952
56000 0.0453884 0.046993 0.0567227 0.149104
57000 0.0426106 0.0500416 0.0567253 0.149378
58000 0.0441485 0.0470271 0.0545409 0.145717
59000 0.0392078 0.0516158 0.0593086 0.150132
60000 0.0433493 0.0496379 0.0515434 0.14453
61000 0.0529798 0.0562085 0.0486709 0.157859
62000 0.0429642 0.0493686 0.0466234 0.138956
63000 0.0440094 0.0496007 0.0439888 0.137599
64000 0.0336158 0.0442088 0.0410837 0.118908
65000 0.052616 0.0457521 0.0437904 0.142158
66000 0.0336694 0.0459365 0.0460406 0.125646
67000 0.0443739 0.0485728 0.0504406 0.143387
68000 0.0477543 0.0469846 0.0444035 0.139142
69000 0.0412782 0.0459702 0.0524659 0.139714
70000 0.0415665 0.0469827 0.0515505 0.1401
71000 0.0399848 0.0452695 0.045094 0.130348
72000 0.0371127 0.0446833 0.0447157 0.126512
73000 0.0351768 0.0502964 0.0486833 0.134156
