 #  Elapsed Time    Sqr Displ.      Sqr Displ.     Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni        Atom NiV  ********
  0.00000000E+00      0.0000000      0.0000000      0.0000000         0
  0.23869960E-12      6.0242129      6.0237155      0.0004974         1
  0.81373061E-11      0.0000045      0.0000044      0.0000001         2
  0.10710153E-10      6.0328188      6.0324324      0.0003864         3
  0.14047384E-10     12.2946965     12.2939583      0.0007381         4
  0.29049182E-10     18.4260061     18.4245445      0.0014616         5
  0.29941794E-10     24.6080530     24.6068264      0.0012267         6
  0.40768442E-10     30.8334389     30.8319961      0.0014428         7
  0.42630000E-10     36.9744326     36.9722038      0.0022288         8
  0.42895664E-10     43.1192026     43.1154768      0.0037259         9
  0.57042925E-10     49.3630421     49.3596424      0.0033997        10
  0.58681724E-10     55.5980939     55.5937396      0.0043543        11
  0.69470490E-10     61.7315662     61.7268789      0.0046873        12
  0.75518510E-10     67.8256277     67.8181240      0.0075037        13
