 #  Elapsed Time    Sqr Displ.      Sqr Displ.     Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni        Atom NiV  ********
  0.00000000E+00      0.0000000      0.0000000      0.0000000         0
  0.54454293E-11      6.0685442      6.0682768      0.0002674         1
  0.64977868E-11     12.1765108     12.1761131      0.0003977         2
  0.66649507E-11     18.4050488     18.4039579      0.0010909         3
  0.89920404E-11     24.6231202     24.6213218      0.0017984         4
  0.17042486E-10     30.7059251     30.7027679      0.0031572         5
  0.18843627E-10     36.8795687     36.8736067      0.0059620         6
  0.20918545E-10     43.0483581     43.0411851      0.0071730         7
  0.21791050E-10     49.2001371     49.1914717      0.0086653         8
  0.28886008E-10     55.4302789     55.4198894      0.0103896         9
  0.30827737E-10     61.5790319     61.5668810      0.0121509        10
  0.31402233E-10     67.7643371     67.7552423      0.0090948        11
  0.38273955E-10     74.3216224     74.3150267      0.0065957        12
  0.39280837E-10     67.7643383     67.7552435      0.0090948        13
  0.44141745E-10     74.1806497     74.1716675      0.0089822        14
  0.52470934E-10     67.7642739     67.7551791      0.0090948        15
  0.54587089E-10     74.0358301     74.0255044      0.0103257        16
  0.56922616E-10     80.2806659     80.2733503      0.0073155        17
  0.61701804E-10     86.6595677     86.6502622      0.0093055        18
  0.66930341E-10     92.6682405     92.6580905      0.0101500        19
  0.89715544E-10     98.7915289     98.7789636      0.0125654        20
  0.90206507E-10    105.2157011    105.2039926      0.0117086        21
  0.93416901E-10     98.7915307     98.7789653      0.0125654        22
  0.97625778E-10    105.0122936    104.9995180      0.0127756        23
  0.99743102E-10    111.1628133    111.1489363      0.0138769        24
  0.10339682E-09    117.4689073    117.4568293      0.0120781        25
  0.10572038E-09    123.4982734    123.4812451      0.0170283        26
  0.10879513E-09    129.6580378    129.6390210      0.0190168        27
  0.11056128E-09    135.9068721    135.8896957      0.0171764        28
  0.11086992E-09    142.2276942    142.2117289      0.0159653        29
  0.11211694E-09    148.3642510    148.3488575      0.0153935        30
  0.11234742E-09    154.5965167    154.5796221      0.0168946        31
  0.11575225E-09    160.7347862    160.7163905      0.0183958        32
  0.11701943E-09    166.9419682    166.9240327      0.0179355        33
  0.12461691E-09    173.2149101    173.1951791      0.0197310        34
  0.13313510E-09    179.2402053    179.2198538      0.0203516        35
  0.13472440E-09    185.4525431    185.4296707      0.0228724        36
  0.13727926E-09    191.5787433    191.5533893      0.0253540        37
  0.13773642E-09    197.7932526    197.7684575      0.0247952        38
  0.14136345E-09    204.0196729    203.9953523      0.0243207        39
  0.15259894E-09    210.2638402    210.2397308      0.0241094        40
  0.15403068E-09    216.3940814    216.3695593      0.0245222        41
  0.15472461E-09    222.6693700    222.6484155      0.0209545        42
  0.15524310E-09    228.7082279    228.6818251      0.0264028        43
  0.15680772E-09    234.9565873    234.9334921      0.0230952        44
  0.16100633E-09    241.2336286    241.2129409      0.0206877        45
  0.16330988E-09    247.5056106    247.4812806      0.0243300        46
  0.16362970E-09    253.5310447    253.5038006      0.0272441        47
  0.16364679E-09    259.7650613    259.7391610      0.0259003        48
  0.16778658E-09    265.9674580    265.9444577      0.0230004        49
  0.16993386E-09    272.2262413    272.2027478      0.0234935        50
  0.17072065E-09    272.0949924    272.0687220      0.0262704        51
  0.17399533E-09    266.0232343    265.9948464      0.0283878        52
  0.17699630E-09    272.0403930    272.0052929      0.0351001        53
  0.18207284E-09    278.3364127    278.3019282      0.0344846        54
  0.18824439E-09    284.3390760    284.3011831      0.0378929        55
  0.21961062E-09    290.3918871    290.3491079      0.0427792        56
  0.22020714E-09    296.5893298    296.5400655      0.0492643        57
  0.22048224E-09    302.8505410    302.7976559      0.0528851        58
  0.23250326E-09    308.9045241    308.8514779      0.0530462        59
  0.24323235E-09    315.2220877    315.1661207      0.0559670        60
  0.24491768E-09    321.5503132    321.5025800      0.0477332        61
  0.25003365E-09    327.7537026    327.7074394      0.0462633        62
  0.25332602E-09    333.8841646    333.8429237      0.0412409        63
  0.25557265E-09    340.1263490    340.0848470      0.0415019        64
  0.25664510E-09    346.4459758    346.4017865      0.0441893        65
  0.26157505E-09    358.5822948    358.5353181      0.0469767        66
  0.27315382E-09    364.7033331    364.6518997      0.0514334        67
  0.27336797E-09    383.3040999    383.2574608      0.0466391        68
  0.27632487E-09    389.5402002    389.4909521      0.0492481        69
  0.27730977E-09    395.8947897    395.8413042      0.0534855        70
  0.27932446E-09    395.8499465    395.7923242      0.0576223        71
  0.29073388E-09    389.5008789    389.4457066      0.0551724        72
  0.29137774E-09    395.9302208    395.8797182      0.0505026        73
  0.31066257E-09    395.9740250    395.9298098      0.0442152        74
  0.31239293E-09    413.9152171    413.8679885      0.0472286        75
  0.31343500E-09    408.1471096    408.0955190      0.0515906        76
  0.31382386E-09    414.3936897    414.3353553      0.0583344        77
  0.31390563E-09    420.6619390    420.6082948      0.0536442        78
