# Time-averaged data for fix 1
# TimeStep c_msd_all[1] c_msd_all[2] c_msd_all[3] c_msd_all[4]
31000 0.0828446 0.0749522 0.0656825 0.223479
32000 0.0668514 0.0770163 0.0690931 0.212961
33000 0.0580237 0.0675344 0.0597824 0.18534
34000 0.0634465 0.0806028 0.0718184 0.215868
35000 0.071641 0.0835122 0.0688804 0.224034
36000 0.0693407 0.0798431 0.0797578 0.228942
37000 0.0699135 0.0729034 0.0755405 0.218357
38000 0.0760174 0.0953294 0.0762691 0.247616
39000 0.0796334 0.0851502 0.0766515 0.241435
40000 0.0758687 0.0733569 0.0725269 0.221752
41000 0.0697344 0.0877552 0.0829919 0.240481
42000 0.0797574 0.103143 0.0830833 0.265984
43000 0.0753469 0.0889787 0.0877402 0.252066
44000 0.0779633 0.0963823 0.086974 0.26132
45000 0.0724874 0.0914044 0.107193 0.271085
46000 0.0767789 0.10363 0.0959699 0.276379
47000 0.0858315 0.11466 0.0939372 0.294428
48000 0.0731813 0.114516 0.0958037 0.283501
49000 0.0795896 0.108528 0.1061 0.294218
50000 0.0704727 0.11733 0.109502 0.297305
51000 0.0747927 0.118766 0.102335 0.295893
52000 0.0691864 0.119548 0.111089 0.299824
53000 0.0887409 0.127606 0.118744 0.335091
54000 0.0866634 0.131643 0.118763 0.33707
55000 0.0809334 0.135652 0.121692 0.338277
56000 0.0870948 0.123948 0.114615 0.325659
57000 0.0803064 0.13809 0.131268 0.349665
58000 0.092049 0.130818 0.13113 0.353998
59000 0.0755908 0.130146 0.136923 0.34266
60000 0.0759895 0.143812 0.131531 0.351332
61000 0.0973309 0.139318 0.129208 0.365857
62000 0.0843365 0.13403 0.124098 0.342465
63000 0.0919803 0.143583 0.133806 0.36937
64000 0.0994478 0.138582 0.137038 0.375068
65000 0.0779055 0.140117 0.130542 0.348565
66000 0.0811376 0.127601 0.123102 0.331841
67000 0.0909811 0.146886 0.125373 0.36324
68000 0.0794728 0.153801 0.13472 0.367994
69000 0.0897272 0.151 0.122485 0.363212
70000 0.0840997 0.142939 0.119669 0.346707
71000 0.0946216 0.162265 0.126312 0.383199
72000 0.102428 0.161074 0.135633 0.399135
73000 0.0849393 0.144162 0.133699 0.3628
74000 0.0982328 0.140913 0.119729 0.358874
75000 0.0918378 0.151526 0.133136 0.3765
76000 0.0886246 0.144946 0.131217 0.364787
77000 0.0878821 0.14401 0.125714 0.357606
78000 0.0862542 0.150637 0.121935 0.358826
79000 0.107532 0.15926 0.138883 0.405675
80000 0.0928862 0.159073 0.133406 0.385366
81000 0.105672 0.144567 0.134264 0.384502
82000 0.0856328 0.14443 0.132349 0.362413
83000 0.0882079 0.144738 0.143739 0.376685
84000 0.0902965 0.149644 0.153939 0.39388
85000 0.0808807 0.142464 0.149343 0.372687
86000 0.0869581 0.162057 0.158841 0.407857
87000 0.0782002 0.156064 0.149991 0.384255
88000 0.0962098 0.165264 0.151811 0.413284
89000 0.087694 0.161693 0.161741 0.411127
90000 0.0868583 0.158926 0.165587 0.411371
91000 0.105029 0.151329 0.147216 0.403575
92000 0.0928257 0.150047 0.143139 0.386012
93000 0.100458 0.170698 0.155325 0.426481
94000 0.0892141 0.161194 0.150001 0.400409
95000 0.0928078 0.163889 0.179088 0.435785
96000 0.111754 0.158006 0.153921 0.423681
97000 0.0933886 0.164524 0.149546 0.407459
98000 0.0938202 0.162544 0.172068 0.428432
99000 0.0936366 0.174059 0.165869 0.433565
100000 0.0969018 0.193779 0.173957 0.464638
101000 0.0928552 0.183011 0.155772 0.431638
102000 0.0897893 0.201451 0.155154 0.446394
103000 0.0940929 0.149088 0.183726 0.426907
104000 0.0930111 0.168891 0.169552 0.431453
105000 0.0890663 0.201192 0.168934 0.459192
106000 0.0976577 0.206328 0.162243 0.466229
107000 0.10611 0.221858 0.16321 0.491178
108000 0.101742 0.177369 0.192472 0.471583
109000 0.110137 0.173318 0.196066 0.47952
110000 0.0895918 0.189267 0.211914 0.490772
111000 0.114935 0.230322 0.189188 0.534445
112000 0.109531 0.22274 0.173664 0.505935
113000 0.0961013 0.180894 0.192903 0.469898
114000 0.0927181 0.166478 0.187855 0.447051
115000 0.0901379 0.18152 0.190519 0.462177
116000 0.103593 0.191493 0.169694 0.46478
117000 0.0884092 0.2209 0.176177 0.485486
118000 0.100556 0.192485 0.184301 0.477343
119000 0.106082 0.185277 0.183657 0.475017
120000 0.0952986 0.195789 0.206366 0.497454
121000 0.0994026 0.189786 0.180166 0.469354
122000 0.0870601 0.211462 0.180665 0.479188
123000 0.0894372 0.194287 0.175299 0.459024
124000 0.111369 0.190299 0.192662 0.49433
125000 0.0902258 0.185575 0.182084 0.457885
126000 0.103756 0.178382 0.185971 0.468108
127000 0.0876293 0.178943 0.189837 0.456409
128000 0.0913695 0.201408 0.202442 0.495219
129000 0.0997764 0.190879 0.201779 0.492434
130000 0.0920092 0.190922 0.196522 0.479453
131000 0.0918065 0.189811 0.186734 0.468352
132000 0.101384 0.202966 0.192667 0.497017
133000 0.102376 0.193436 0.198181 0.493992
134000 0.100285 0.198913 0.196566 0.495764
135000 0.0934163 0.197651 0.206912 0.497979
136000 0.0996025 0.184898 0.211378 0.495878
137000 0.0864083 0.191119 0.201255 0.478782
138000 0.0971493 0.200083 0.19118 0.488412
139000 0.0983103 0.197988 0.191916 0.488215
140000 0.0942063 0.203675 0.21538 0.513262
141000 0.101283 0.204177 0.227828 0.533289
142000 0.0938824 0.208215 0.239854 0.541951
143000 0.094688 0.196615 0.2225 0.513804
144000 0.101921 0.202742 0.214713 0.519375
145000 0.0977201 0.198063 0.224843 0.520626
146000 0.0911502 0.193313 0.239999 0.524462
147000 0.0959075 0.20595 0.255001 0.556859
148000 0.105624 0.192487 0.222815 0.520927
149000 0.0996218 0.211514 0.226939 0.538075
150000 0.108388 0.208765 0.237731 0.554885
151000 0.130177 0.239065 0.253205 0.622447
152000 0.107108 0.228332 0.265078 0.600517
153000 0.113762 0.213653 0.247797 0.575212
154000 0.100674 0.222782 0.22752 0.550976
155000 0.103816 0.223981 0.254766 0.582563
156000 0.142683 0.242124 0.270602 0.655409
157000 0.115899 0.237703 0.267837 0.621439
158000 0.114117 0.228844 0.246163 0.589124
159000 0.105618 0.222393 0.248752 0.576763
160000 0.109618 0.224469 0.284982 0.619069
161000 0.109236 0.224166 0.286118 0.61952
162000 0.108547 0.231319 0.265082 0.604948
163000 0.112335 0.230812 0.240477 0.583624
164000 0.111267 0.228402 0.240082 0.57975
165000 0.103273 0.225675 0.27246 0.601408
166000 0.108303 0.226993 0.274858 0.610154
167000 0.120876 0.241695 0.277378 0.639949
168000 0.119742 0.251829 0.248341 0.619913
169000 0.119677 0.245592 0.254139 0.619408
170000 0.109334 0.239662 0.281129 0.630125
171000 0.107453 0.250194 0.30914 0.666787
172000 0.115832 0.252216 0.267653 0.635701
173000 0.113076 0.263904 0.284709 0.661689
