 #  Elapsed Time    Sqr Displ.      Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni   ********
  0.00000000E+00      0.0000000      0.0000000         0
  0.25022947E-11      6.0206147      6.0206147         1
  0.61472691E-11     12.1595390     12.1595390         2
  0.73392819E-11     18.2790702     18.2790702         3
  0.98763630E-11     12.1589803     12.1589803         4
  0.14178939E-10     18.2981308     18.2981308         5
  0.14197546E-10     24.5150409     24.5150409         6
  0.14681555E-10     30.7204204     30.7204204         7
  0.18989587E-10     36.8856125     36.8856125         8
  0.23097091E-10     43.1112982     43.1112982         9
  0.35070059E-10     49.2517263     49.2517263        10
  0.41965802E-10     55.3909523     55.3909523        11
  0.42532423E-10     61.4782478     61.4782478        12
  0.51747136E-10     67.6752184     67.6752184        13
  0.55301204E-10     73.8700237     73.8700237        14
  0.57254803E-10     67.6752187     67.6752187        15
  0.59797018E-10     73.9203171     73.9203171        16
  0.60793178E-10     67.6752189     67.6752189        17
  0.69395215E-10     61.5606619     61.5606619        18
  0.74283068E-10     67.8021622     67.8021622        19
  0.79223921E-10     73.8688336     73.8688336        20
  0.82430260E-10     73.8761440     73.8761440        21
  0.82666358E-10     80.0913129     80.0913129        22
  0.89661180E-10     86.3995966     86.3995966        23
  0.91852669E-10     80.0912789     80.0912789        24
  0.98494261E-10     73.8542011     73.8542011        25
  0.99695418E-10     80.1937393     80.1937393        26
  0.10055271E-09     86.3917400     86.3917400        27
  0.10276486E-09     92.5140757     92.5140757        28
  0.10403264E-09     98.7820566     98.7820566        29
  0.11518320E-09    104.9822922    104.9822922        30
  0.11750867E-09     98.7820986     98.7820986        31
  0.12970526E-09    104.8215086    104.8215086        32
  0.13454918E-09    110.9845678    110.9845678        33
  0.13980596E-09    117.1343188    117.1343188        34
  0.14345622E-09    123.3234886    123.3234886        35
  0.14445714E-09    129.4561320    129.4561320        36
  0.14798908E-09    135.6535705    135.6535705        37
  0.15203503E-09    141.9035684    141.9035684        38
  0.15568617E-09    148.1537463    148.1537463        39
  0.15673277E-09    154.2357239    154.2357239        40
  0.15766068E-09    160.5429317    160.5429317        41
  0.15826790E-09    166.5793111    166.5793111        42
  0.15884803E-09    172.8891092    172.8891092        43
  0.15894755E-09    179.1215539    179.1215539        44
  0.16015443E-09    185.2832384    185.2832384        45
  0.16181621E-09    191.5827005    191.5827005        46
  0.17413045E-09    197.7415028    197.7415028        47
  0.17416938E-09    203.8950629    203.8950629        48
  0.17467999E-09    210.0499449    210.0499449        49
  0.17481797E-09    216.3814927    216.3814927        50
  0.17889791E-09    222.6651350    222.6651350        51
  0.18026573E-09    222.5429659    222.5429659        52
  0.18222196E-09    228.7924347    228.7924347        53
  0.18750484E-09    235.0278129    235.0278129        54
  0.18764369E-09    228.7924347    228.7924347        55
  0.19910166E-09    235.0278039    235.0278039        56
  0.20044419E-09    241.2742838    241.2742838        57
  0.20503510E-09    247.3787099    247.3787099        58
  0.20624352E-09    253.6073706    253.6073706        59
  0.21217916E-09    253.6050702    253.6050702        60
  0.21245919E-09    259.6310834    259.6310834        61
  0.22053019E-09    265.8794604    265.8794604        62
  0.22096841E-09    271.9003835    271.9003835        63
  0.22219413E-09    278.3117584    278.3117584        64
  0.23971398E-09    284.5982734    284.5982734        65
  0.24021060E-09    290.8166041    290.8166041        66
  0.24881253E-09    296.8374159    296.8374159        67
  0.25865249E-09    303.0339147    303.0339147        68
  0.26052462E-09    309.2971406    309.2971406        69
  0.26502429E-09    315.4931539    315.4931539        70
  0.26748770E-09    321.7713173    321.7713173        71
  0.26866219E-09    327.9184289    327.9184289        72
  0.27999458E-09    340.2058305    340.2058305        73
  0.28915029E-09    346.5110470    346.5110470        74
  0.29783778E-09    352.7257597    352.7257597        75
  0.30335841E-09    346.5112800    346.5112800        76
  0.30451151E-09    346.4870124    346.4870124        77
  0.30469016E-09    358.6550523    358.6550523        78
  0.31401728E-09    365.0908110    365.0908110        79
  0.32014013E-09    371.4323008    371.4323008        80
  0.32417507E-09    377.3778910    377.3778910        81
  0.33361650E-09    383.7814635    383.7814635        82
  0.33468777E-09    383.7207402    383.7207402        83
  0.33713404E-09    390.0802806    390.0802806        84
  0.33747957E-09    396.2019691    396.2019691        85
  0.33795596E-09    402.2801902    402.2801902        86
  0.33882921E-09    408.5586983    408.5586983        87
  0.34888524E-09    414.8242449    414.8242449        88
  0.35109604E-09    426.9665007    426.9665007        89
  0.35161018E-09    427.1231017    427.1231017        90
  0.36097990E-09    433.2809635    433.2809635        91
  0.37720579E-09    439.3517358    439.3517358        92
  0.37772843E-09    445.5118415    445.5118415        93
  0.37933838E-09    439.3517209    439.3517209        94
  0.38148295E-09    445.4901508    445.4901508        95
  0.38786226E-09    451.7176395    451.7176395        96
  0.38934224E-09    451.8294456    451.8294456        97
  0.39042848E-09    463.9426876    463.9426876        98
  0.39559961E-09    464.0452369    464.0452369        99
  0.39762137E-09    470.3789800    470.3789800       100
  0.40252883E-09    476.6973588    476.6973588       101
  0.40313647E-09    482.7646461    482.7646461       102
  0.40418598E-09    482.5658259    482.5658259       103
  0.40451428E-09    488.9020605    488.9020605       104
  0.40523631E-09    489.0021898    489.0021898       105
  0.40598808E-09    488.9020632    488.9020632       106
  0.40754656E-09    501.2460280    501.2460280       107
  0.40775714E-09    507.6504915    507.6504915       108
  0.41668623E-09    526.2472252    526.2472252       109
  0.42095524E-09    532.3879484    532.3879484       110
  0.42127106E-09    550.3529292    550.3529292       111
  0.42278105E-09    550.8434016    550.8434016       112
  0.42546748E-09    550.8931273    550.8931273       113
  0.42566450E-09    544.6560771    544.6560771       114
  0.42786688E-09    550.8972153    550.8972153       115
  0.43602626E-09    557.1641092    557.1641092       116
  0.43678202E-09    563.3745460    563.3745460       117
  0.43801053E-09    569.5043618    569.5043618       118
  0.43927332E-09    587.8282285    587.8282285       119
  0.43949767E-09    581.7747955    581.7747955       120
  0.44336254E-09    588.1111457    588.1111457       121
  0.44987856E-09    594.3327850    594.3327850       122
  0.45165285E-09    594.2723507    594.2723507       123
  0.45499895E-09    594.2929481    594.2929481       124
  0.45703814E-09    600.6726011    600.6726011       125
  0.46069160E-09    612.6861359    612.6861359       126
  0.47762760E-09    612.6365234    612.6365234       127
  0.48470751E-09    619.0708420    619.0708420       128
  0.48690997E-09    625.0243652    625.0243652       129
  0.48899590E-09    637.5823727    637.5823727       130
  0.49750035E-09    643.1187063    643.1187063       131
  0.49823714E-09    650.1601768    650.1601768       132
  0.50223293E-09    656.2142719    656.2142719       133
  0.50490894E-09    650.1600717    650.1600717       134
  0.50998974E-09    662.4053159    662.4053159       135
  0.52176515E-09    650.1600677    650.1600677       136
  0.52505404E-09    656.4810487    656.4810487       137
  0.53018335E-09    668.7789933    668.7789933       138
  0.53445949E-09    662.3905087    662.3905087       139
  0.54258198E-09    656.5513487    656.5513487       140
  0.54942637E-09    662.8142926    662.8142926       141
  0.55068624E-09    668.7826893    668.7826893       142
  0.55419928E-09    686.7490614    686.7490614       143
  0.55803670E-09    687.5677928    687.5677928       144
  0.56510432E-09    693.3802752    693.3802752       145
  0.56588893E-09    712.0416470    712.0416470       146
  0.56798574E-09    693.3801492    693.3801492       147
  0.57160143E-09    686.9788959    686.9788959       148
  0.57214330E-09    693.4803444    693.4803444       149
  0.57220921E-09    699.7094487    699.7094487       150
  0.57260636E-09    705.8998431    705.8998431       151
  0.57428528E-09    712.1607981    712.1607981       152
  0.57498160E-09    724.0647056    724.0647056       153
  0.58035938E-09    724.2505905    724.2505905       154
  0.59112799E-09    730.4474002    730.4474002       155
  0.60220711E-09    736.6638541    736.6638541       156
  0.60534142E-09    742.8467796    742.8467796       157
  0.60859062E-09    748.9200397    748.9200397       158
  0.61016251E-09    755.1836332    755.1836332       159
  0.61016661E-09    761.2788414    761.2788414       160
  0.61438696E-09    767.6020650    767.6020650       161
  0.61647290E-09    773.7410375    773.7410375       162
  0.61908015E-09    773.5767020    773.5767020       163
  0.62222483E-09    773.7963860    773.7963860       164
  0.62407863E-09    773.5767102    773.5767102       165
  0.63420817E-09    773.7963866    773.7963866       166
  0.63818917E-09    779.8099665    779.8099665       167
  0.64270793E-09    785.8865016    785.8865016       168
  0.64307316E-09    792.2071645    792.2071645       169
  0.64979514E-09    792.1583423    792.1583423       170
  0.65170304E-09    798.3122132    798.3122132       171
  0.66152965E-09    804.6666340    804.6666340       172
  0.67662933E-09    810.9036292    810.9036292       173
  0.67917172E-09    816.9869965    816.9869965       174
  0.68912361E-09    823.0311549    823.0311549       175
  0.68968332E-09    829.2349110    829.2349110       176
  0.69014018E-09    835.5074846    835.5074846       177
  0.69448929E-09    829.2348968    829.2348968       178
  0.70345329E-09    835.4322680    835.4322680       179
  0.70983603E-09    841.6425561    841.6425561       180
  0.70995008E-09    847.9297405    847.9297405       181
  0.71015103E-09    854.0765285    854.0765285       182
  0.71035094E-09    860.2584508    860.2584508       183
  0.71714268E-09    854.0765363    854.0765363       184
  0.72130197E-09    860.3682604    860.3682604       185
  0.72802349E-09    866.5812771    866.5812771       186
  0.72983536E-09    872.8702871    872.8702871       187
  0.74030399E-09    879.0393666    879.0393666       188
  0.74152940E-09    885.1069588    885.1069588       189
  0.74269168E-09    891.5902351    891.5902351       190
  0.74584931E-09    885.1071170    885.1071170       191
  0.74996034E-09    891.4300338    891.4300338       192
  0.75031813E-09    903.4571218    903.4571218       193
  0.75595925E-09    909.8746747    909.8746747       194
  0.75832091E-09    909.6587963    909.6587963       195
  0.76572329E-09    909.6620642    909.6620642       196
  0.76713621E-09    910.0224508    910.0224508       197
  0.77461442E-09    916.4057462    916.4057462       198
  0.77598760E-09    922.5208838    922.5208838       199
  0.78423047E-09    928.5921301    928.5921301       200
  0.78758834E-09    934.7730072    934.7730072       201
  0.79024302E-09    940.8915187    940.8915187       202
  0.79146927E-09    947.2146678    947.2146678       203
  0.79611548E-09    953.4370617    953.4370617       204
  0.80648075E-09    959.5639542    959.5639542       205
  0.80675069E-09    965.7081617    965.7081617       206
  0.81335744E-09    971.9760815    971.9760815       207
  0.82039723E-09    971.8661234    971.8661234       208
  0.82272436E-09    971.9760807    971.9760807       209
  0.83478876E-09    978.0646556    978.0646556       210
  0.83499057E-09    984.1614099    984.1614099       211
  0.83572834E-09    990.3715162    990.3715162       212
  0.83769447E-09    996.5469420    996.5469420       213
  0.85036053E-09   1002.8473368   1002.8473368       214
  0.86027727E-09   1008.9597676   1008.9597676       215
  0.86054646E-09   1015.2099011   1015.2099011       216
  0.86105810E-09   1021.3163989   1021.3163989       217
  0.86126722E-09   1027.3295490   1027.3295490       218
  0.86878691E-09   1033.3640294   1033.3640294       219
  0.87017002E-09   1039.5531128   1039.5531128       220
  0.87777770E-09   1045.8749579   1045.8749579       221
  0.88106358E-09   1051.9527106   1051.9527106       222
  0.88731905E-09   1058.0906587   1058.0906587       223
  0.89237631E-09   1064.4144831   1064.4144831       224
  0.89585432E-09   1070.5736344   1070.5736344       225
  0.90070913E-09   1076.6039626   1076.6039626       226
  0.90314430E-09   1082.8625314   1082.8625314       227
  0.90377722E-09   1088.9380700   1088.9380700       228
  0.90659846E-09   1095.1766947   1095.1766947       229
  0.91289843E-09   1101.2305381   1101.2305381       230
  0.91919086E-09   1107.4160714   1107.4160714       231
  0.92660149E-09   1113.5597615   1113.5597615       232
  0.92906163E-09   1119.9160531   1119.9160531       233
  0.93001817E-09   1125.8594991   1125.8594991       234
  0.93383423E-09   1125.8898735   1125.8898735       235
  0.93634319E-09   1132.2258442   1132.2258442       236
  0.93953415E-09   1125.8898742   1125.8898742       237
  0.94342836E-09   1132.0271591   1132.0271591       238
  0.94613654E-09   1132.1024915   1132.1024915       239
  0.94755848E-09   1132.0243552   1132.0243552       240
  0.94810070E-09   1138.5736079   1138.5736079       241
  0.94839327E-09   1144.7725725   1144.7725725       242
  0.95752097E-09   1162.7585180   1162.7585180       243
  0.96379510E-09   1169.3465089   1169.3465089       244
  0.96397773E-09   1175.6626783   1175.6626783       245
  0.96461071E-09   1181.8664052   1181.8664052       246
  0.97162835E-09   1188.1225251   1188.1225251       247
  0.97626376E-09   1187.8988782   1187.8988782       248
  0.98010860E-09   1193.9969971   1193.9969971       249
  0.98187185E-09   1199.9657543   1199.9657543       250
  0.98295709E-09   1206.2308588   1206.2308588       251
  0.98312714E-09   1206.3964368   1206.3964368       252
  0.98733057E-09   1206.2308561   1206.2308561       253
  0.98913103E-09   1212.5519831   1212.5519831       254
  0.99613662E-09   1218.5803229   1218.5803229       255
  0.10061738E-08   1224.6805315   1224.6805315       256
  0.10139557E-08   1230.8797673   1230.8797673       257
  0.10183030E-08   1237.1074967   1237.1074967       258
  0.10204546E-08   1243.3318420   1243.3318420       259
  0.10236913E-08   1249.3668303   1249.3668303       260
  0.10264325E-08   1255.5670460   1255.5670460       261
  0.10303132E-08   1261.6030773   1261.6030773       262
  0.10303773E-08   1267.8689490   1267.8689490       263
  0.10311237E-08   1261.6031082   1261.6031082       264
  0.10335279E-08   1267.6508270   1267.6508270       265
  0.10338084E-08   1273.9921092   1273.9921092       266
  0.10342064E-08   1267.6508293   1267.6508293       267
  0.10378106E-08   1273.9921117   1273.9921117       268
  0.10379557E-08   1273.9267202   1273.9267202       269
  0.10390984E-08   1268.0120126   1268.0120126       270
  0.10456763E-08   1274.2180880   1274.2180880       271
  0.10459232E-08   1280.5549309   1280.5549309       272
  0.10469246E-08   1286.6350716   1286.6350716       273
  0.10543586E-08   1292.7890707   1292.7890707       274
  0.10565912E-08   1298.7571991   1298.7571991       275
  0.10575984E-08   1304.9839047   1304.9839047       276
  0.10675270E-08   1311.0664217   1311.0664217       277
  0.10749275E-08   1317.4049206   1317.4049206       278
  0.10766034E-08   1311.0664052   1311.0664052       279
  0.10775242E-08   1317.4049248   1317.4049248       280
  0.10808094E-08   1323.4151061   1323.4151061       281
  0.10846479E-08   1329.6505220   1329.6505220       282
  0.10853606E-08   1323.4150825   1323.4150825       283
  0.10877602E-08   1323.4251617   1323.4251617       284
  0.10906083E-08   1323.7600685   1323.7600685       285
  0.10914697E-08   1329.9430127   1329.9430127       286
  0.10938134E-08   1336.3577236   1336.3577236       287
  0.10960093E-08   1342.6875112   1342.6875112       288
  0.10965344E-08   1349.0431478   1349.0431478       289
  0.11009231E-08   1355.1679811   1355.1679811       290
  0.11021760E-08   1361.4376056   1361.4376056       291
  0.11138671E-08   1367.5519710   1367.5519710       292
  0.11144389E-08   1373.8014451   1373.8014451       293
  0.11196501E-08   1379.9646123   1379.9646123       294
  0.11203198E-08   1386.1281268   1386.1281268       295
  0.11225854E-08   1392.2790843   1392.2790843       296
  0.11246298E-08   1398.5331675   1398.5331675       297
  0.11256241E-08   1404.7000822   1404.7000822       298
  0.11375213E-08   1410.9621914   1410.9621914       299
  0.11377481E-08   1416.9103180   1416.9103180       300
  0.11406686E-08   1423.1133948   1423.1133948       301
  0.11437650E-08   1435.3221491   1435.3221491       302
  0.11445428E-08   1441.6429386   1441.6429386       303
  0.11507426E-08   1447.8713845   1447.8713845       304
  0.11521205E-08   1454.1332291   1454.1332291       305
  0.11560893E-08   1460.3912500   1460.3912500       306
  0.11566369E-08   1466.4962574   1466.4962574       307
  0.11576339E-08   1472.7800436   1472.7800436       308
  0.11595178E-08   1478.8597302   1478.8597302       309
  0.11596574E-08   1484.8204710   1484.8204710       310
  0.11604090E-08   1491.1853189   1491.1853189       311
  0.11604691E-08   1497.4819140   1497.4819140       312
  0.11605143E-08   1497.4140230   1497.4140230       313
  0.11623158E-08   1503.7037504   1503.7037504       314
  0.11640963E-08   1515.7665824   1515.7665824       315
  0.11648679E-08   1503.7037564   1503.7037564       316
  0.11703871E-08   1509.8361662   1509.8361662       317
  0.11709501E-08   1509.8818221   1509.8818221       318
  0.11735680E-08   1522.0885143   1522.0885143       319
  0.11739554E-08   1528.3788150   1528.3788150       320
  0.11741253E-08   1534.3991031   1534.3991031       321
  0.11745518E-08   1540.7390383   1540.7390383       322
  0.11752712E-08   1546.6943967   1546.6943967       323
  0.11767754E-08   1552.8883285   1552.8883285       324
  0.11845130E-08   1559.1812263   1559.1812263       325
  0.11901404E-08   1565.2935692   1565.2935692       326
  0.11932224E-08   1559.1811269   1559.1811269       327
  0.11977016E-08   1553.0549038   1553.0549038       328
  0.11986719E-08   1559.0384228   1559.0384228       329
