# num_vacancies wallTime(s)
1.000000000000000000e+00 5.990850000000000364e+03
1.000000000000000000e+00 5.773079999999999927e+03
1.000000000000000000e+00 5.880109999999999673e+03
1.000000000000000000e+00 5.574010000000000218e+03
1.000000000000000000e+00 5.332909999999999854e+03
1.000000000000000000e+00 5.844170000000000073e+03
1.000000000000000000e+00 5.794399999999999636e+03
1.000000000000000000e+00 5.772510000000000218e+03
2.000000000000000000e+00 1.728566999999999825e+04
2.000000000000000000e+00 1.329095999999999913e+04
2.000000000000000000e+00 1.495434000000000015e+04
2.000000000000000000e+00 1.484137999999999920e+04
2.000000000000000000e+00 1.504060000000000036e+04
2.000000000000000000e+00 1.440031999999999971e+04
4.000000000000000000e+00 2.395154000000000087e+04
4.000000000000000000e+00 2.375875999999999840e+04
4.000000000000000000e+00 3.018784999999999854e+04
