# Time-averaged data for fix 1
# TimeStep c_msd_all[1] c_msd_all[2] c_msd_all[3] c_msd_all[4]
31000 0.0633432 0.0712061 0.0614227 0.195972
32000 0.0679696 0.0706648 0.0701459 0.20878
33000 0.0614085 0.0679716 0.060471 0.189851
34000 0.0668214 0.069311 0.0665992 0.202732
35000 0.0641936 0.0678872 0.0669743 0.199055
36000 0.0663297 0.0802953 0.0689654 0.21559
37000 0.0737328 0.0747034 0.0697944 0.218231
38000 0.0658348 0.0718696 0.0696518 0.207356
39000 0.0649892 0.0642319 0.065131 0.194352
40000 0.0626734 0.063963 0.0634666 0.190103
41000 0.0698781 0.0802028 0.0728408 0.222922
42000 0.0666172 0.0672508 0.0725814 0.206449
43000 0.0667427 0.0765969 0.071519 0.214859
44000 0.0679684 0.0802954 0.0658171 0.214081
45000 0.063585 0.0697488 0.0641757 0.19751
46000 0.0633332 0.0752154 0.0628789 0.201427
47000 0.0709691 0.0697391 0.0673856 0.208094
48000 0.067685 0.0714016 0.0650616 0.204148
49000 0.0698045 0.0753131 0.0727163 0.217834
50000 0.0720389 0.0716103 0.0771677 0.220817
51000 0.0673492 0.0742361 0.0737569 0.215342
52000 0.0781958 0.0683769 0.0748833 0.221456
53000 0.0739946 0.0758869 0.0715806 0.221462
54000 0.0648613 0.0784006 0.0741598 0.217422
55000 0.0858869 0.0820384 0.0805998 0.248525
56000 0.0738443 0.0845715 0.0742923 0.232708
57000 0.0790902 0.0822654 0.0725975 0.233953
58000 0.0739038 0.0723979 0.0752168 0.221519
59000 0.0680988 0.0790128 0.0780536 0.225165
60000 0.0714814 0.0728993 0.0785659 0.222947
61000 0.0710444 0.0737736 0.0778486 0.222667
62000 0.0689438 0.0800412 0.0832974 0.232282
63000 0.0768607 0.0805048 0.0765783 0.233944
64000 0.0724363 0.0756097 0.0743252 0.222371
65000 0.0701985 0.0776248 0.0735837 0.221407
66000 0.0787548 0.0774252 0.0763881 0.232568
67000 0.0753897 0.0754981 0.0772108 0.228099
68000 0.079371 0.0898418 0.0782797 0.247492
69000 0.0701797 0.0879822 0.0811551 0.239317
70000 0.0766005 0.0880611 0.0843327 0.248994
71000 0.0839922 0.08588 0.0816228 0.251495
72000 0.0681632 0.0818573 0.0875045 0.237525
73000 0.0702468 0.0774188 0.0834413 0.231107
74000 0.0668147 0.0774099 0.087777 0.232002
75000 0.0821357 0.0797301 0.0893549 0.251221
76000 0.0722118 0.0739313 0.0885805 0.234724
77000 0.063129 0.0776008 0.0890892 0.229819
