 #  Elapsed Time    Sqr Displ.      Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni   ********
  0.53568547E-09    680.4006031    680.4006031       131
  0.53676061E-09    686.5947308    686.5947308       132
  0.53705655E-09    693.1157222    693.1157222       133
  0.54415207E-09    698.9480112    698.9480112       134
  0.54845067E-09    705.1217742    705.1217742       135
  0.54945784E-09    698.9479778    698.9479778       136
  0.55413241E-09    705.1217750    705.1217750       137
  0.55657108E-09    711.3066817    711.3066817       138
  0.55680332E-09    711.2466193    711.2466193       139
  0.55856844E-09    717.4491823    717.4491823       140
  0.55962034E-09    723.5908577    723.5908577       141
  0.56232578E-09    729.7077223    729.7077223       142
  0.57023364E-09    735.7907513    735.7907513       143
  0.58541561E-09    729.7077276    729.7077276       144
  0.59672009E-09    735.8180899    735.8180899       145
  0.59785231E-09    742.1729594    742.1729594       146
  0.59842305E-09    748.5197288    748.5197288       147
  0.60343195E-09    754.8033917    754.8033917       148
  0.60725727E-09    760.8446073    760.8446073       149
  0.60862552E-09    767.1431162    767.1431162       150
  0.61123735E-09    773.2803093    773.2803093       151
  0.61272402E-09    779.4078143    779.4078143       152
  0.61858897E-09    779.4386593    779.4386593       153
  0.62355073E-09    785.4949138    785.4949138       154
  0.63704398E-09    791.7626246    791.7626246       155
  0.63780967E-09    797.9013866    797.9013866       156
  0.64092531E-09    804.0623334    804.0623334       157
  0.64194809E-09    810.2115384    810.2115384       158
  0.64881397E-09    816.5408285    816.5408285       159
  0.65512614E-09    822.8151958    822.8151958       160
  0.65662037E-09    829.0167265    829.0167265       161
  0.66047471E-09    835.1596941    835.1596941       162
  0.66686406E-09    835.1089768    835.1089768       163
  0.66863916E-09    841.2843621    841.2843621       164
  0.67667124E-09    847.5516956    847.5516956       165
  0.67877210E-09    853.8191524    853.8191524       166
  0.68498047E-09    859.9341147    859.9341147       167
  0.68535398E-09    866.1973027    866.1973027       168
  0.68809703E-09    872.3554691    872.3554691       169
  0.69048492E-09    872.4700442    872.4700442       170
  0.69524420E-09    878.7567246    878.7567246       171
  0.69805066E-09    878.6840220    878.6840220       172
  0.70261209E-09    878.6209743    878.6209743       173
  0.71822590E-09    872.3694513    872.3694513       174
  0.72512678E-09    878.9702434    878.9702434       175
  0.72552751E-09    884.9826026    884.9826026       176
  0.73821850E-09    891.4477947    891.4477947       177
  0.73915095E-09    897.7068758    897.7068758       178
  0.74964080E-09    903.7333544    903.7333544       179
  0.75872941E-09    916.0463982    916.0463982       180
  0.76022206E-09    903.7333603    903.7333603       181
  0.76199603E-09    909.9943297    909.9943297       182
  0.76503382E-09    916.3848393    916.3848393       183
  0.76999666E-09    922.5475556    922.5475556       184
  0.77040928E-09    928.5674423    928.5674423       185
  0.77175909E-09    934.5253626    934.5253626       186
  0.77601349E-09    940.9987587    940.9987587       187
  0.77862741E-09    947.1731796    947.1731796       188
  0.78176514E-09    953.5103332    953.5103332       189
  0.78490052E-09    959.7101926    959.7101926       190
  0.78588281E-09    965.6731920    965.6731920       191
