 #  Elapsed Time    Sqr Displ.      Sqr Displ.     Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni        Atom NiV  ********
  0.00000000E+00      0.0000000      0.0000000      0.0000000         0
  0.72539539E-11      6.0058845      6.0053644      0.0005201         1
  0.86084546E-11     12.1117045     12.1113508      0.0003537         2
  0.90477364E-11     18.3615279     18.3612134      0.0003145         3
  0.93996971E-11     24.4129762     24.4111855      0.0017906         4
  0.98882813E-11     30.6035836     30.6012588      0.0023247         5
  0.11292222E-10     36.6872289     36.6848411      0.0023877         6
  0.14398252E-10     42.8777495     42.8730349      0.0047146         7
  0.17271524E-10     49.1282965     49.1243191      0.0039774         8
  0.23505311E-10     55.3355098     55.3329480      0.0025618         9
  0.24281925E-10     55.3969881     55.3953301      0.0016579        10
  0.29949981E-10     61.6471502     61.6454079      0.0017423        11
  0.34070496E-10     67.7444020     67.7430523      0.0013497        12
  0.41637084E-10     73.9988392     73.9964262      0.0024130        13
  0.45658980E-10     80.1381735     80.1359233      0.0022502        14
  0.46478454E-10     73.9988390     73.9964261      0.0024129        15
  0.50404056E-10     67.7401868     67.7387533      0.0014335        16
  0.50581740E-10     73.9436742     73.9422621      0.0014121        17
  0.50730179E-10     74.0616737     74.0611068      0.0005669        18
  0.56281215E-10     73.9423945     73.9409924      0.0014021        19
  0.57127581E-10     92.3588212     92.3561045      0.0027167        20
  0.63184230E-10     92.4955549     92.4906358      0.0049190        21
  0.65814964E-10     98.7636288     98.7577683      0.0058606        22
  0.72675103E-10    104.9484232    104.9398826      0.0085405        23
  0.81672052E-10    111.0913498    111.0835242      0.0078256        24
  0.83057248E-10    117.1981215    117.1893132      0.0088083        25
  0.94031454E-10    123.3163381    123.3062601      0.0100780        26
  0.94813362E-10    117.1981244    117.1893161      0.0088083        27
  0.98295962E-10    123.3479780    123.3354646      0.0125134        28
  0.10213820E-09    129.5656525    129.5543217      0.0113309        29
  0.10878523E-09    123.3479792    123.3354657      0.0125134        30
  0.10981706E-09    129.5304204    129.5163900      0.0140303        31
  0.11263935E-09    135.7526934    135.7417916      0.0109018        32
  0.11664760E-09    141.9487382    141.9372874      0.0114508        33
  0.12596564E-09    141.9708853    141.9611697      0.0097155        34
  0.13022590E-09    154.1031941    154.0907305      0.0124636        35
  0.13449839E-09    160.4644920    160.4507378      0.0137543        36
  0.13509978E-09    166.7116430    166.6993405      0.0123025        37
  0.13658874E-09    173.0768258    173.0673744      0.0094515        38
  0.13742311E-09    179.0538195    179.0402448      0.0135748        39
  0.14693303E-09    185.3433771    185.3271648      0.0162123        40
  0.14816005E-09    191.6417333    191.6275308      0.0142025        41
  0.15346373E-09    197.4752762    191.7418700      5.7334063        42
  0.15374746E-09    203.7193062    191.6827575     12.0365487        43
  0.15494770E-09    209.5520702    191.6256635     17.9264068        44
  0.15530116E-09    215.7022066    197.8099597     17.8922468        45
  0.15537421E-09    221.8777537    197.8467913     24.0309624        46
  0.15542659E-09    227.8614388    197.7935252     30.0679136        47
  0.15702290E-09    221.8777241    197.8467642     24.0309599        48
  0.15752051E-09    227.7688183    197.7987719     29.9700464        49
  0.15895738E-09    221.8776888    197.8467491     24.0309397        50
  0.15953156E-09    227.9504723    203.8287721     24.1217001        51
  0.15995251E-09    234.0201498    209.8435875     24.1765624        52
  0.16006271E-09    240.1411845    215.9554154     24.1857691        53
