 #  Elapsed Time    Sqr Displ.      Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni   ********
  0.00000000E+00      0.0000000      0.0000000         0
  0.23657489E-11      6.0204929      6.0204929         1
  0.87239700E-11     12.2745382     12.2745382         2
  0.95748958E-11     18.4642722     18.4642722         3
  0.10445262E-10     24.4900683     24.4900683         4
  0.10899641E-10     30.6112320     30.6112320         5
  0.12023350E-10     36.7166528     36.7166528         6
  0.17483542E-10     42.8067615     42.8067615         7
  0.18065637E-10     49.0632455     49.0632455         8
  0.19954592E-10     55.2299570     55.2299570         9
  0.20715415E-10     61.3181736     61.3181736        10
  0.30497009E-10     67.4962519     67.4962519        11
  0.30709215E-10     73.6086463     73.6086463        12
  0.30902733E-10     79.8426602     79.8426602        13
  0.32867342E-10     85.9722896     85.9722896        14
  0.33449263E-10     92.1588830     92.1588830        15
  0.33471689E-10     98.4217717     98.4217717        16
  0.36865515E-10    104.3970176    104.3970176        17
  0.41013801E-10     98.4217701     98.4217701        18
  0.42610308E-10    104.5838913    104.5838913        19
  0.44076958E-10    110.7850104    110.7850104        20
  0.45274154E-10    116.8771934    116.8771934        21
  0.50936009E-10    123.0716037    123.0716037        22
  0.51738788E-10    129.1675907    129.1675907        23
  0.52215617E-10    135.4429617    135.4429617        24
  0.53219318E-10    141.7010206    141.7010206        25
  0.54203905E-10    147.8698753    147.8698753        26
  0.56220945E-10    154.1082992    154.1082992        27
  0.57736604E-10    160.2455193    160.2455193        28
  0.57986305E-10    166.2746350    166.2746350        29
  0.59624319E-10    172.4309504    172.4309504        30
  0.61168933E-10    184.7705375    184.7705375        31
  0.65730308E-10    172.4309199    172.4309199        32
  0.68934113E-10    178.6794049    178.6794049        33
  0.69013635E-10    184.9461398    184.9461398        34
  0.70532528E-10    191.0917982    191.0917982        35
  0.71838163E-10    190.9546478    190.9546478        36
  0.79786478E-10    197.2202129    197.2202129        37
  0.82809704E-10    203.5634890    203.5634890        38
  0.84614645E-10    209.8051341    209.8051341        39
  0.85891850E-10    216.0556429    216.0556429        40
  0.85930096E-10    233.8665131    233.8665131        41
  0.86159093E-10    227.9896738    227.9896738        42
  0.86497034E-10    234.1515234    234.1515234        43
  0.86718335E-10    234.2736188    234.2736188        44
  0.87605869E-10    240.0576076    240.0576076        45
  0.87800518E-10    240.4502728    240.4502728        46
  0.88247214E-10    246.5620019    246.5620019        47
  0.88470540E-10    246.8398325    246.8398325        48
  0.89022105E-10    253.0578639    253.0578639        49
  0.89669223E-10    259.0449692    259.0449692        50
  0.90531623E-10    265.3402839    265.3402839        51
  0.90751195E-10    271.1955692    271.1955692        52
  0.90792487E-10    271.5132640    271.5132640        53
  0.91658770E-10    277.8350717    277.8350717        54
