 #  Elapsed Time    Sqr Displ.      Sqr Displ.     Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni        Atom NiV  ********
  0.00000000E+00      0.0000000      0.0000000      0.0000000         0
  0.77807875E-14      3.5823037      2.5966585      0.9856451         1
  0.12137421E-12     10.1020104      7.1651978      2.9368125         2
  0.22488989E-12     15.7714325     12.3645824      3.4068500         3
  0.23705557E-12     22.5289067     19.0062195      3.5226872         4
  0.23945222E-12     28.6045412     25.0802241      3.5243171         5
  0.29167467E-12     33.6316984     30.0985269      3.5331714         6
  0.29964037E-12     36.6193044     33.0828749      3.5364296         7
  0.31474554E-12     41.5407161     37.9823540      3.5583622         8
  0.31875175E-12     36.6192522     33.0828289      3.5364233         9
  0.32074480E-12     41.1649482     37.6125974      3.5523508        10
  0.32173204E-12     46.1415878     42.5957063      3.5458815        11
  0.34507313E-12     46.2473192     42.6937516      3.5535676        12
  0.35979921E-12     53.1137851     49.5634058      3.5503793        13
  0.36087444E-12     58.5528271     55.0017636      3.5510635        14
  0.41271532E-12     58.6080183     55.0564959      3.5515224        15
  0.49264769E-12     65.3881543     61.8334625      3.5546917        16
  0.50111653E-12     70.4884443     66.9330850      3.5553593        17
  0.50811484E-12     72.9134247     69.3571931      3.5562317        18
  0.52942447E-12     73.2891758     69.7352303      3.5539455        19
  0.56186225E-12     73.3789195     69.8226633      3.5562563        20
  0.60716802E-12     77.9691530     74.4080400      3.5611130        21
  0.63422063E-12     77.6792155     74.1149744      3.5642411        22
  0.63866057E-12     84.1814756     80.6175947      3.5638809        23
  0.64008407E-12     90.3260936     86.7638314      3.5622622        24
  0.65735340E-12     90.4363491     86.8790578      3.5572913        25
  0.66048931E-12     96.4898635     92.9320346      3.5578289        26
  0.66833352E-12     95.7809731     92.2287329      3.5522402        27
  0.70455835E-12     97.0995321     93.5429485      3.5565836        28
  0.71758799E-12    102.3352413     98.7750252      3.5602161        29
  0.75838366E-12    107.9921381    104.4248222      3.5673159        30
  0.76926779E-12    115.2748494    111.6986598      3.5761896        31
  0.77433050E-12    122.1833300    118.6010807      3.5822493        32
  0.81263907E-12    128.4796002    124.8979540      3.5816462        33
  0.82096617E-12    130.4906898    126.9219933      3.5686964        34
  0.82432182E-12    128.4796000    124.8979538      3.5816462        35
  0.86970507E-12    137.9494291    134.3774723      3.5719569        36
