LAMMPS Description

13068 atoms
3 atom types

                     -7.52927300650000e+01 7.52927300650000e+01 xlo xhi
-5.48713695600000e+01 5.48713695600000e+01 ylo yhi
-4.31110195000000e+00 4.31110195000000e+00 zlo zhi

Masses

1 58.693
2 58.933195
3 51.9961

Atoms #molecule-tag atom-type x y z

1 2 -7.46704763090870e+01 -5.40819746735260e+01 -3.95184342542600e+00
2 1 -7.46704763090870e+01 -5.20497015642780e+01 -1.07777548750000e+00
3 3 -7.46704763090870e+01 -5.00174284550290e+01 -2.51480941335200e+00
4 2 -7.34155979766220e+01 -5.20497015642780e+01 -3.23332637627800e+00
5 1 -7.34155979766220e+01 -5.00174284550290e+01 -3.59258524574000e-01
6 1 -7.34155979766220e+01 -5.40819746735260e+01 -1.79629245042600e+00
7 1 -7.21607181383020e+01 -5.40819746735260e+01 -3.95184342542600e+00
8 3 -7.21607181383020e+01 -5.20497015642780e+01 -1.07777548750000e+00
9 1 -7.21607181383020e+01 -5.00174284550290e+01 -2.51480941335200e+00
10 3 -7.09058398058370e+01 -5.20497015642780e+01 -3.23332637627800e+00
11 1 -7.09058398058370e+01 -5.00174284550290e+01 -3.59258524574000e-01
12 1 -7.09058398058370e+01 -5.40819746735260e+01 -1.79629245042600e+00
13 2 -6.96509614733720e+01 -5.40819746735260e+01 -3.95184342542600e+00
14 1 -6.96509614733720e+01 -5.20497015642780e+01 -1.07777548750000e+00
15 2 -6.96509614733720e+01 -5.00174284550290e+01 -2.51480941335200e+00
16 2 -6.83960816350520e+01 -5.20497015642780e+01 -3.23332637627800e+00
17 2 -6.83960816350520e+01 -5.00174284550290e+01 -3.59258524574000e-01
18 3 -6.83960816350520e+01 -5.40819746735260e+01 -1.79629245042600e+00
19 1 -6.71412033025870e+01 -5.40819746735260e+01 -3.95184342542600e+00
20 2 -6.71412033025870e+01 -5.20497015642780e+01 -1.07777548750000e+00
21 1 -6.71412033025870e+01 -5.00174284550290e+01 -2.51480941335200e+00
22 3 -6.58863249701220e+01 -5.20497015642780e+01 -3.23332637627800e+00
23 2 -6.58863249701220e+01 -5.00174284550290e+01 -3.59258524574000e-01
24 1 -6.58863249701220e+01 -5.40819746735260e+01 -1.79629245042600e+00
25 1 -6.46314451318020e+01 -5.40819746735260e+01 -3.95184342542600e+00
26 1 -6.46314451318020e+01 -5.20497015642780e+01 -1.07777548750000e+00
27 3 -6.46314451318020e+01 -5.00174284550290e+01 -2.51480941335200e+00
28 3 -6.33765667993370e+01 -5.20497015642780e+01 -3.23332637627800e+00
29 3 -6.33765667993370e+01 -5.00174284550290e+01 -3.59258524574000e-01
30 1 -6.33765667993370e+01 -5.40819746735260e+01 -1.79629245042600e+00
31 3 -6.21216884668720e+01 -5.40819746735260e+01 -3.95184342542600e+00
32 2 -6.21216884668720e+01 -5.20497015642780e+01 -1.07777548750000e+00
33 3 -6.21216884668720e+01 -5.00174284550290e+01 -2.51480941335200e+00
34 3 -6.08668086285520e+01 -5.20497015642780e+01 -3.23332637627800e+00
35 2 -6.08668086285520e+01 -5.00174284550290e+01 -3.59258524574000e-01
36 3 -6.08668086285520e+01 -5.40819746735260e+01 -1.79629245042600e+00
37 2 -5.96119302960870e+01 -5.40819746735260e+01 -3.95184342542600e+00
38 3 -5.96119302960870e+01 -5.20497015642780e+01 -1.07777548750000e+00
39 2 -5.96119302960870e+01 -5.00174284550290e+01 -2.51480941335200e+00
40 3 -5.83570519636220e+01 -5.20497015642780e+01 -3.23332637627800e+00
41 3 -5.83570519636220e+01 -5.00174284550290e+01 -3.59258524574000e-01
42 3 -5.83570519636220e+01 -5.40819746735260e+01 -1.79629245042600e+00
43 2 -5.71021721253020e+01 -5.40819746735260e+01 -3.95184342542600e+00
44 2 -5.71021721253020e+01 -5.20497015642780e+01 -1.07777548750000e+00
45 1 -5.71021721253020e+01 -5.00174284550290e+01 -2.51480941335200e+00
46 2 -5.58472937928370e+01 -5.20497015642780e+01 -3.23332637627800e+00
47 2 -5.58472937928370e+01 -5.00174284550290e+01 -3.59258524574000e-01
48 1 -5.58472937928370e+01 -5.40819746735260e+01 -1.79629245042600e+00
49 2 -5.45924154603720e+01 -5.40819746735260e+01 -3.95184342542600e+00
50 2 -5.45924154603720e+01 -5.20497015642780e+01 -1.07777548750000e+00
51 1 -5.45924154603720e+01 -5.00174284550290e+01 -2.51480941335200e+00
52 1 -5.33375356220520e+01 -5.20497015642780e+01 -3.23332637627800e+00
53 1 -5.33375356220520e+01 -5.00174284550290e+01 -3.59258524574000e-01
54 1 -5.33375356220520e+01 -5.40819746735260e+01 -1.79629245042600e+00
