 #  Elapsed Time    Sqr Displ.      Sqr Displ.     Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni        Atom NiV  ********
  0.00000000E+00      0.0000000      0.0000000      0.0000000         0
  0.15021969E-11      5.9902679      5.9896460      0.0006219         1
  0.25544577E-11     12.1597303     12.1592794      0.0004509         2
  0.53254129E-11     18.2470249     18.2455967      0.0014282         3
  0.65328169E-11     24.3937182     24.3909098      0.0028085         4
  0.16569702E-10     30.6705870     30.6668065      0.0037805         5
  0.16772658E-10     36.7573587     36.7537712      0.0035876         6
  0.17645931E-10     36.7011846     36.6983330      0.0028516         7
  0.18800885E-10     43.0083330     43.0056849      0.0026481         8
  0.21431472E-10     49.3635361     49.3584715      0.0050646         9
  0.21744279E-10     55.3866089     55.3811542      0.0054546        10
  0.37731002E-10     61.5895354     61.5828035      0.0067319        11
  0.38091434E-10     67.8801420     67.8766725      0.0034696        12
  0.38263288E-10     73.9797857     73.9749193      0.0048664        13
  0.39279397E-10     80.0923416     80.0821799      0.0101617        14
  0.42808374E-10     85.4573701     79.8365256      5.6208445        15
  0.42849610E-10     80.0922540     80.0820934      0.0101606        16
  0.47567551E-10     86.3783562     80.3672714      6.0110848        17
  0.56305431E-10     92.6232471     80.2669890     12.3562581        18
  0.59808084E-10     98.4449349     80.3066994     18.1382356        19
  0.60055560E-10    104.5444726     80.2119888     24.3324838        20
  0.69321533E-10     98.4449336     80.3066979     18.1382357        21
  0.69368496E-10    104.5444414     80.2119873     24.3324541        22
  0.69522133E-10     98.4449323     80.3066965     18.1382358        23
  0.69646422E-10    104.5443379     80.2119799     24.3323580        24
  0.70946921E-10     98.4449309     80.3066951     18.1382358        25
  0.71445654E-10     92.6565940     80.2807153     12.3758788        26
  0.73102936E-10     98.4449296     80.3066937     18.1382359        27
  0.73969466E-10    104.5444621     80.2119817     24.3324804        28
  0.75394116E-10    110.5269793     80.2071261     30.3198532        29
  0.75546338E-10    116.9960476     86.4533220     30.5427256        30
