 #  Elapsed Time    Sqr Displ.      Sqr Displ.     Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni        Atom NiV  ********
  0.00000000E+00      0.0000000      0.0000000      0.0000000         0
  0.42355441E-11      6.0328625      6.0324741      0.0003884         1
  0.61692352E-11     12.1507477     12.1503382      0.0004095         2
  0.17765397E-10      6.0328695      6.0324811      0.0003884         3
  0.26690912E-10     12.1673605     12.1670969      0.0002636         4
  0.31566254E-10     18.3757683     18.3754341      0.0003342         5
  0.45215515E-10     12.1644043     12.1641372      0.0002671         6
  0.47633861E-10     18.3518935     18.3507846      0.0011089         7
  0.51236593E-10     24.5585601     24.5575870      0.0009731         8
  0.64542658E-10     30.7773590     30.7763760      0.0009830         9
  0.70415581E-10     24.5585577     24.5575846      0.0009731        10
  0.78741938E-10     30.7820519     30.7805534      0.0014984        11
  0.83067812E-10     37.0125728     37.0111720      0.0014009        12
  0.83821756E-10     30.7820481     30.7805497      0.0014984        13
  0.85059084E-10     43.0650335     43.0643869      0.0006466        14
  0.88589856E-10     37.1777761     37.1776964      0.0000797        15
  0.92685491E-10     43.2250853     43.2249328      0.0001525        16
  0.95787693E-10     49.1662059     49.1657095      0.0004964        17
  0.10050254E-09     55.5645157     55.5638753      0.0006404        18
  0.10196342E-09     61.6048630     61.6037834      0.0010796        19
  0.10203345E-09     55.5645144     55.5638741      0.0006404        20
  0.10449464E-09     61.8008547     61.7991941      0.0016606        21
  0.10466637E-09     67.9051167     67.9034653      0.0016514        22
  0.10672656E-09     74.1862067     74.1845361      0.0016706        23
  0.11226724E-09     67.9051259     67.9034746      0.0016514        24
  0.11306058E-09     74.1862059     74.1845353      0.0016706        25
  0.12368522E-09     80.4069650     80.4060168      0.0009483        26
  0.12420627E-09     86.6131383     86.6112179      0.0019205        27
  0.12760124E-09     92.8421143     92.8399946      0.0021197        28
  0.12846750E-09     98.9586872     98.9546941      0.0039930        29
  0.13095933E-09    105.1148903    105.1112906      0.0035997        30
  0.13420402E-09    111.2430583    111.2379455      0.0051129        31
  0.13889106E-09    117.4939081    117.4861212      0.0077869        32
  0.14272901E-09    123.7253642    123.7198066      0.0055576        33
  0.14308189E-09    129.9196232    129.9153514      0.0042719        34
  0.14635263E-09    136.1637503    136.1582086      0.0055417        35
  0.14705735E-09    142.3027101    142.2984234      0.0042867        36
  0.14786448E-09    148.5524550    148.5489416      0.0035134        37
  0.15074961E-09    154.7144528    154.7115719      0.0028809        38
  0.15178670E-09    160.9334025    160.9293553      0.0040472        39
  0.15321959E-09    167.0874154    167.0818989      0.0055165        40
  0.15631076E-09    173.3452952    173.3370349      0.0082603        41
  0.16003092E-09    179.5613475    179.5518240      0.0095235        42
  0.16168899E-09    185.6916350    185.6820620      0.0095730        43
  0.17081813E-09    191.8469215    191.8359526      0.0109689        44
  0.17413984E-09    197.9803637    197.9703123      0.0100514        45
  0.17627570E-09    204.2209451    204.2073816      0.0135636        46
  0.17971539E-09    210.4629872    210.4506487      0.0123385        47
  0.18270261E-09    216.5890744    216.5725241      0.0165503        48
  0.18426381E-09    222.8174992    222.8007498      0.0167494        49
  0.18468025E-09    228.8881093    228.8722038      0.0159055        50
  0.18681495E-09    235.1919229    235.1755521      0.0163708        51
  0.19099049E-09    228.8881087    228.8722020      0.0159067        52
  0.19323012E-09    235.0795524    235.0631074      0.0164450        53
  0.19695562E-09    241.3528125    241.3389111      0.0139014        54
  0.20057620E-09    247.4598636    247.4433902      0.0164734        55
  0.20743590E-09    253.5893821    253.5691346      0.0202475        56
  0.20879281E-09    259.8132003    259.7855900      0.0276104        57
  0.21144546E-09    265.9743947    265.9532878      0.0211069        58
  0.21251497E-09    272.2791137    272.2528028      0.0263109        59
  0.21300263E-09    278.4134308    272.3298899      6.0835409        60
  0.21406442E-09    284.3843643    272.3714600     12.0129043        61
  0.21437233E-09    290.5863443    272.4461459     18.1401983        62
  0.22005470E-09    284.3843651    272.3714605     12.0129046        63
  0.22102845E-09    290.5860435    272.4460934     18.1399500        64
  0.22528977E-09    296.9011692    272.4418779     24.4592912        65
  0.22737029E-09    302.8208754    272.4153972     30.4054782        66
  0.23059397E-09    309.0384643    272.4514845     36.5869797        67
  0.23104244E-09    314.6325525    272.3625817     42.2699709        68
  0.23214186E-09    320.6948633    272.4631429     48.2317204        69
  0.23415250E-09    326.9500840    272.5480224     54.4020616        70
  0.23486481E-09    333.2870392    272.5137740     60.7732651        71
  0.23668163E-09    338.9307846    272.5477863     66.3829983        72
  0.23695242E-09    345.2840095    272.6161957     72.6678138        73
  0.23807100E-09    351.6124322    278.8777713     72.7346609        74
  0.23903497E-09    357.5541760    278.9730754     78.5811006        75
  0.24032619E-09    351.6125769    278.8778433     72.7347336        76
  0.24041066E-09    345.3068494    272.6328902     72.6739592        77
  0.24046103E-09    351.6125776    278.8778435     72.7347342        78
  0.24091410E-09    357.7141848    284.9379532     72.7762316        79
  0.24201069E-09    363.5320032    284.7795957     78.7524075        80
  0.24242967E-09    357.7140116    284.9378478     72.7761638        81
  0.24307561E-09    363.6344601    285.0034931     78.6309670        82
  0.24387405E-09    357.7140275    284.9378668     72.7761607        83
  0.24394050E-09    363.3469765    284.8677216     78.4792549        84
  0.24523616E-09    369.8039959    291.1894310     78.6145650        85
  0.24543879E-09    376.1448759    297.4347586     78.7101172        86
  0.24620134E-09    375.9707112    297.3230933     78.6476179        87
  0.24782654E-09    382.2877308    303.6080318     78.6796990        88
  0.25087341E-09    388.5857017    303.6323641     84.9533376        89
  0.25484488E-09    394.9489563    303.7606384     91.1883179        90
  0.25663209E-09    395.3796997    303.7304686     91.6492311        91
  0.25670136E-09    400.9320003    303.6388609     97.2931394        92
  0.25674270E-09    406.6240464    303.6921521    102.9318943        93
  0.25682541E-09    413.2435839    303.7646210    109.4789629        94
  0.25722413E-09    430.4776559    303.5470976    126.9305583        95
  0.25760327E-09    429.9167442    303.5784365    126.3383077        96
  0.25777066E-09    435.6765059    309.5906076    126.0858983        97
  0.25844359E-09    430.0667678    309.6879902    120.3787776        98
  0.25930303E-09    436.1718688    315.4616930    120.7101758        99
  0.25936242E-09    442.9020836    315.7375769    127.1645067       100
  0.25952016E-09    448.8057908    315.7838871    133.0219037       101
  0.25960258E-09    443.0324831    309.8926198    133.1398633       102
  0.25982320E-09    442.7589197    310.2068632    132.5520565       103
  0.26040786E-09    435.7430609    303.6717778    132.0712831       104
  0.26064526E-09    418.6114642    303.8149846    114.7964796       105
  0.26077887E-09    435.7428287    303.6716708    132.0711579       106
  0.26133806E-09    437.0809079    303.6945113    133.3863966       107
  0.26186934E-09    430.9803380    303.5227722    127.4575658       108
  0.26190959E-09    437.8196837    303.7580628    134.0616209       109
  0.26229318E-09    437.0033749    303.7447877    133.2585872       110
  0.26287286E-09    443.8885064    303.8871688    140.0013376       111
  0.31755941E-09    449.8824747    309.9999020    139.8825727       112
  0.31954544E-09    443.8885256    303.8871983    140.0013273       113
  0.37479213E-09    437.5102685    303.9232176    133.5870508       114
  0.37482232E-09    420.0783001    303.8434770    116.2348232       115
  0.37490178E-09    437.5102632    303.9232177    133.5870455       116
  0.37501046E-09    420.0785038    303.8435798    116.2349240       117
  0.37570918E-09    437.5102579    303.9232178    133.5870401       118
  0.37599159E-09    420.0786928    303.8436708    116.2350220       119
  0.37617416E-09    425.4107455    303.8313873    121.5793582       120
  0.37623416E-09    425.0551217    303.6561214    121.3990003       121
  0.37641403E-09    425.4107330    303.8313883    121.5793446       122
  0.37666234E-09    437.2882900    315.4308181    121.8574719       123
  0.37707219E-09    431.8815689    315.8963119    115.9852570       124
  0.37758583E-09    437.2894846    315.4316115    121.8578731       125
  0.37776765E-09    425.3251744    303.7868654    121.5383090       126
  0.37831392E-09    431.7513365    309.8993938    121.8519427       127
  0.37883704E-09    437.4472900    316.0153214    121.4319686       128
  0.37913492E-09    431.7361780    316.0401121    115.6960659       129
  0.37920985E-09    437.4473404    316.0153759    121.4319645       130
  0.37949684E-09    474.5606727    352.9446574    121.6160152       131
  0.37980072E-09    499.0698134    377.4972572    121.5725561       132
  0.38033929E-09    504.9648169    377.6036123    127.3612046       133
  0.38085408E-09    498.1091261    377.3206077    120.7885183       134
  0.38110553E-09    504.9653226    377.6041219    127.3612007       135
  0.38119999E-09    510.7662132    377.3609296    133.4052835       136
  0.38187465E-09    517.5174484    377.3263562    140.1910922       137
  0.38197839E-09    548.5155149    408.3149146    140.2006003       138
  0.38492668E-09    517.5170770    377.3260945    140.1909825       139
  0.38499228E-09    511.5254867    371.2160678    140.3094189       140
  0.38567022E-09    517.1445724    371.0233757    146.1211967       141
  0.38583832E-09    511.5252317    371.2157667    140.3094650       142
  0.38613985E-09    506.3570922    371.2698561    135.0872361       143
  0.38663450E-09    511.6859763    371.0424630    140.6435133       144
  0.38675645E-09    506.3571499    371.2700286    135.0871213       145
  0.38915055E-09    512.8433511    371.8966061    140.9467449       146
  0.38951724E-09    519.6277346    372.2844758    147.3432587       147
  0.38975883E-09    524.5928246    371.3492300    153.2435945       148
  0.38981120E-09    530.0097491    370.7892805    159.2204686       149
  0.39024452E-09    536.8054279    371.1562837    165.6491442       150
  0.39048160E-09    555.1115487    383.2897912    171.8217575       151
  0.39129727E-09    542.8003009    371.1330011    171.6672999       152
  0.39157900E-09    555.1115476    383.2897896    171.8217580       153
  0.39182765E-09    567.3607744    395.5763388    171.7844357       154
  0.39412335E-09    555.1114827    383.2896565    171.8218262       155
  0.39437811E-09    542.8003610    371.1330407    171.6673203       156
  0.39452145E-09    555.1114816    383.2896550    171.8218266       157
  0.39691373E-09    579.5175310    407.9219758    171.5955552       158
  0.39693460E-09    568.1290887    396.2088415    171.9202471       159
  0.39723859E-09    579.5175490    407.9219786    171.5955704       160
  0.39828016E-09    590.6976597    407.9376600    182.7599997       161
  0.39872087E-09    566.5036696    383.8348525    182.6688171       162
  0.39939266E-09    590.6978875    407.9376784    182.7602092       163
