 #  Elapsed Time    Sqr Displ.      Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni   ********
  0.00000000E+00      0.0000000      0.0000000         0
  0.60020998E-11      6.0213396      6.0213396         1
  0.11980214E-10     12.1260127     12.1260127         2
  0.15511013E-10     18.3575199     18.3575199         3
  0.19759862E-10     24.4996553     24.4996553         4
  0.20353836E-10     30.7722446     30.7722446         5
  0.20960448E-10     36.9318803     36.9318803         6
  0.23818095E-10     43.1304828     43.1304828         7
  0.33243286E-10     49.2865929     49.2865929         8
  0.34462859E-10     55.5726000     55.5726000         9
  0.41272992E-10     49.2865400     49.2865400        10
  0.47014814E-10     55.5725985     55.5725985        11
  0.48656006E-10     61.6069389     61.6069389        12
  0.53924202E-10     67.9135337     67.9135337        13
  0.54665023E-10     74.0546107     74.0546107        14
  0.55483418E-10     80.2319853     80.2319853        15
  0.55776631E-10     74.0546138     74.0546138        16
  0.56074836E-10     80.1933108     80.1933108        17
  0.60726363E-10     86.4061786     86.4061786        18
  0.61036340E-10     80.1933118     80.1933118        19
  0.64656512E-10     86.3805442     86.3805442        20
  0.66305988E-10     92.5502509     92.5502509        21
  0.67324593E-10     98.7621999     98.7621999        22
  0.70201299E-10    104.9211008    104.9211008        23
  0.70645052E-10    111.2204909    111.2204909        24
  0.75579308E-10    117.3207318    117.3207318        25
  0.79543881E-10    123.4776796    123.4776796        26
  0.85641377E-10    129.6129011    129.6129011        27
  0.88824512E-10    135.8800707    135.8800707        28
  0.95293678E-10    142.0118511    142.0118511        29
  0.97702386E-10    148.3500075    148.3500075        30
  0.11762719E-09    148.2020952    148.2020952        31
  0.12328925E-09    154.3866637    154.3866637        32
  0.12959161E-09    160.6327365    160.6327365        33
  0.13130524E-09    166.8211675    166.8211675        34
  0.13521023E-09    173.0760206    173.0760206        35
  0.13720743E-09    179.2474893    179.2474893        36
  0.14058583E-09    185.5256951    185.5256951        37
  0.15004545E-09    191.6710741    191.6710741        38
  0.15125216E-09    197.8490200    197.8490200        39
  0.15446790E-09    204.1237533    204.1237533        40
  0.15583727E-09    210.2899543    210.2899543        41
  0.15822859E-09    216.5320986    216.5320986        42
  0.15936978E-09    222.6955151    222.6955151        43
  0.16443954E-09    228.7482250    228.7482250        44
  0.16906763E-09    234.9170622    234.9170622        45
  0.17704304E-09    241.0992435    241.0992435        46
  0.17771941E-09    234.9170631    234.9170631        47
  0.17899521E-09    241.1783227    241.1783227        48
  0.18677319E-09    247.4368353    247.4368353        49
  0.18854743E-09    259.6995989    259.6995989        50
  0.19032270E-09    272.1695896    272.1695896        51
  0.20333917E-09    290.4463772    290.4463772        52
  0.20833864E-09    296.8432170    296.8432170        53
  0.20897831E-09    296.8897915    296.8897915        54
  0.20910864E-09    297.1249370    297.1249370        55
