 #  Elapsed Time    Sqr Displ.      Sqr Displ.     Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni        Atom NiV  ********
  0.00000000E+00      0.0000000      0.0000000      0.0000000         0
  0.38930442E-12      6.0302785      6.0300425      0.0002360         1
  0.11912236E-11     12.3074374     12.3067432      0.0006942         2
  0.37868651E-11     18.3924471     18.3920837      0.0003634         3
  0.41712497E-11     12.3074350     12.3067408      0.0006942         4
  0.70382066E-11     18.3926697     18.3923225      0.0003472         5
  0.79607595E-11     24.5354621     24.5347069      0.0007552         6
  0.10845126E-10     30.7674922     30.7653147      0.0021775         7
  0.12918368E-10     36.9418338     36.9398910      0.0019428         8
  0.19298361E-10     30.7674911     30.7653136      0.0021775         9
  0.23237228E-10     36.9412744     36.9386981      0.0025763        10
  0.31233152E-10     43.2149208     43.2109056      0.0040152        11
  0.34290172E-10     49.4782586     49.4728177      0.0054408        12
  0.35252933E-10     55.5348282     55.5273998      0.0074284        13
  0.36016456E-10     61.6680191     61.6600278      0.0079913        14
  0.36785330E-10     67.8763900     67.8678570      0.0085330        15
  0.37885916E-10     74.0167968     74.0058309      0.0109660        16
  0.41190688E-10     80.1894640     80.1768041      0.0126599        17
  0.43647696E-10     86.3363357     86.3193737      0.0169621        18
  0.44443798E-10     92.5284491     92.5127563      0.0156928        19
  0.46644881E-10     92.6305425     92.6173955      0.0131470        20
  0.52912813E-10     86.5100139     86.5002068      0.0098072        21
  0.52951181E-10     92.8734029     92.8660994      0.0073036        22
  0.54166550E-10     99.1666952     99.1601574      0.0065378        23
  0.54548835E-10    105.2096408    105.2044002      0.0052405        24
  0.55023837E-10    111.3900443    111.3866727      0.0033716        25
  0.55905679E-10    117.6633747    117.6613835      0.0019912        26
  0.57457847E-10    123.8023232    123.8010373      0.0012858        27
  0.57644486E-10    130.0004940    129.9992184      0.0012756        28
  0.61004579E-10    136.1982087    136.1957062      0.0025025        29
  0.61073025E-10    142.4567658    142.4555909      0.0011749        30
  0.65799071E-10    148.5527806    148.5502418      0.0025389        31
  0.72466921E-10    154.7320094    154.7296556      0.0023537        32
  0.76833984E-10    160.9048309    160.9038575      0.0009734        33
  0.79599560E-10    160.9125890    160.9121224      0.0004667        34
  0.82855342E-10    160.8835261    160.8818317      0.0016944        35
  0.89409601E-10    167.0549502    167.0526509      0.0022993        36
  0.89857895E-10    160.8835235    160.8818291      0.0016944        37
  0.90257343E-10    160.9133224    160.9122319      0.0010905        38
  0.92960812E-10    160.9157211    160.9144366      0.0012845        39
  0.95943130E-10    167.2126922    167.2115743      0.0011179        40
  0.10864758E-09    173.3724062    173.3719903      0.0004159        41
  0.11041619E-09    179.8021851    179.8014828      0.0007023        42
  0.11718317E-09    185.9187261    185.9169817      0.0017444        43
