 #  Elapsed Time    Sqr Displ.      Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni   ********
  0.00000000E+00      0.0000000      0.0000000         0
  0.23592994E-11      6.0217749      6.0217749         1
  0.45776188E-11     12.1418665     12.1418665         2
  0.57175711E-11     18.3698186     18.3698186         3
  0.13012140E-10     24.5662814     24.5662814         4
  0.15382998E-10     30.5854091     30.5854091         5
  0.27415343E-10     36.9767439     36.9767439         6
  0.35367237E-10     43.2238034     43.2238034         7
  0.44949264E-10     49.3432772     49.3432772         8
  0.55200666E-10     55.4237920     55.4237920         9
  0.58169706E-10     61.7212126     61.7212126        10
  0.59119151E-10     68.0426806     68.0426806        11
  0.72420764E-10     74.0121942     74.0121942        12
  0.72686469E-10     80.2078271     80.2078271        13
  0.77338187E-10     86.4694581     86.4694581        14
  0.81856608E-10     92.7020831     92.7020831        15
  0.86044876E-10     98.7914230     98.7914230        16
  0.88078468E-10     92.7020132     92.7020132        17
  0.91149057E-10     98.7840379     98.7840379        18
  0.92559082E-10    104.9445471    104.9445471        19
  0.98763812E-10     98.7840623     98.7840623        20
  0.99102449E-10    104.9739674    104.9739674        21
  0.10219755E-09    111.3768910    111.3768910        22
  0.10252908E-09    117.2574884    117.2574884        23
  0.10839049E-09    123.6476821    123.6476821        24
  0.11154921E-09    117.2574884    117.2574884        25
  0.11246872E-09    111.3799641    111.3799641        26
  0.11438490E-09    129.8336877    129.8336877        27
  0.11888377E-09    135.7730173    135.7730173        28
  0.12101093E-09    142.1525505    142.1525505        29
  0.13004322E-09    148.3934477    148.3934477        30
  0.13464067E-09    154.4817318    154.4817318        31
  0.13524506E-09    160.6278393    160.6278393        32
  0.13544003E-09    166.9756749    166.9756749        33
  0.13604932E-09    173.1262505    173.1262505        34
  0.14149996E-09    179.2671675    179.2671675        35
  0.14530199E-09    185.3721531    185.3721531        36
  0.15218734E-09    191.5671441    191.5671441        37
  0.15475492E-09    197.6627375    197.6627375        38
  0.15811027E-09    203.9007267    203.9007267        39
  0.15979703E-09    197.6627350    197.6627350        40
  0.16087051E-09    203.9146910    203.9146910        41
  0.16904154E-09    210.0589353    210.0589353        42
  0.17144231E-09    216.2559415    216.2559415        43
  0.17289235E-09    222.4709643    222.4709643        44
  0.17324605E-09    228.7834633    228.7834633        45
  0.17587564E-09    234.6184764    234.6184764        46
  0.17687292E-09    241.0369847    241.0369847        47
  0.18109275E-09    247.1120852    247.1120852        48
  0.18191244E-09    253.4123137    253.4123137        49
  0.18592707E-09    259.5112432    259.5112432        50
  0.18632728E-09    265.6320253    265.6320253        51
  0.19390088E-09    271.8585596    271.8585596        52
  0.19408401E-09    265.6320084    265.6320084        53
  0.19571721E-09    271.8613567    271.8613567        54
  0.20143968E-09    278.0150504    278.0150504        55
  0.20510191E-09    271.8612937    271.8612937        56
  0.20971971E-09    265.6445911    265.6445911        57
  0.20974707E-09    271.8406879    271.8406879        58
  0.21128366E-09    265.6445986    265.6445986        59
  0.21367390E-09    271.8276975    271.8276975        60
  0.21682058E-09    278.1486964    278.1486964        61
  0.21739049E-09    284.1610512    284.1610512        62
  0.22135178E-09    278.1486987    278.1486987        63
  0.22585622E-09    284.3339080    284.3339080        64
  0.22823338E-09    290.2958077    290.2958077        65
  0.23100210E-09    284.3339119    284.3339119        66
  0.23158871E-09    278.1531367    278.1531367        67
  0.24277712E-09    284.2147327    284.2147327        68
  0.24510576E-09    278.1529939    278.1529939        69
  0.24688035E-09    284.4380826    284.4380826        70
  0.24986951E-09    290.3998574    290.3998574        71
  0.25061835E-09    296.6837054    296.6837054        72
  0.25102012E-09    302.7882935    302.7882935        73
  0.25613585E-09    296.6837061    296.6837061        74
  0.25835521E-09    302.8151074    302.8151074        75
  0.26021916E-09    308.9706432    308.9706432        76
  0.26506581E-09    309.0509874    309.0509874        77
  0.26607466E-09    315.1864195    315.1864195        78
  0.26999480E-09    315.0837292    315.0837292        79
  0.27033302E-09    321.5304849    321.5304849        80
  0.28050904E-09    327.6499094    327.6499094        81
  0.28461873E-09    333.7601731    333.7601731        82
  0.28714030E-09    339.9469855    339.9469855        83
  0.28950585E-09    346.1559332    346.1559332        84
  0.30145915E-09    352.2288813    352.2288813        85
  0.30884623E-09    358.4008276    358.4008276        86
  0.31097315E-09    364.6687632    364.6687632        87
  0.31811623E-09    370.8058482    370.8058482        88
  0.32385439E-09    376.8735992    376.8735992        89
  0.32643773E-09    383.2312011    383.2312011        90
  0.33054956E-09    389.4355151    389.4355151        91
  0.33309897E-09    395.6357228    395.6357228        92
  0.33565134E-09    389.4354078    389.4354078        93
  0.33589201E-09    395.7633086    395.7633086        94
  0.33611987E-09    401.9606984    401.9606984        95
  0.33748021E-09    408.3561848    408.3561848        96
  0.34422361E-09    414.4744704    414.4744704        97
  0.35036940E-09    420.5415625    420.5415625        98
  0.35939710E-09    426.6489208    426.6489208        99
  0.36303605E-09    432.7564176    432.7564176       100
  0.36400909E-09    439.0566217    439.0566217       101
  0.36502928E-09    432.7564872    432.7564872       102
  0.36561810E-09    439.0248312    439.0248312       103
  0.36930790E-09    445.0311820    445.0311820       104
  0.39048690E-09    451.2166578    451.2166578       105
  0.39217468E-09    457.3043995    457.3043995       106
  0.39608185E-09    463.4657029    463.4657029       107
  0.39926517E-09    469.6715864    469.6715864       108
  0.40060926E-09    475.8723831    475.8723831       109
  0.40284898E-09    482.0541179    482.0541179       110
  0.40368899E-09    475.8723978    475.8723978       111
  0.42396685E-09    481.9763549    481.9763549       112
  0.42906361E-09    488.0825059    488.0825059       113
  0.43154566E-09    494.3435173    494.3435173       114
  0.43214435E-09    500.6304778    500.6304778       115
  0.43306170E-09    507.0320561    507.0320561       116
  0.43746508E-09    513.3531311    513.3531311       117
  0.45555523E-09    507.0320418    507.0320418       118
  0.45731141E-09    513.2923602    513.2923602       119
  0.45751430E-09    519.6301301    519.6301301       120
  0.45770125E-09    525.6079619    525.6079619       121
  0.46062081E-09    525.7539314    525.7539314       122
  0.47178042E-09    531.8770270    531.8770270       123
  0.47923588E-09    525.7539307    525.7539307       124
  0.49799762E-09    532.0824781    532.0824781       125
  0.49976860E-09    538.2943409    538.2943409       126
  0.50791790E-09    544.4923391    544.4923391       127
  0.51033408E-09    550.6293343    550.6293343       128
  0.51158372E-09    556.8459951    556.8459951       129
  0.51451643E-09    562.9520289    562.9520289       130
  0.51943223E-09    569.2199976    569.2199976       131
  0.53768692E-09    575.3541764    575.3541764       132
  0.53784394E-09    581.4056599    581.4056599       133
  0.53798372E-09    587.7271882    587.7271882       134
  0.53906154E-09    581.4056623    581.4056623       135
  0.54474162E-09    587.8660362    587.8660362       136
  0.54492998E-09    593.8819659    593.8819659       137
  0.54704644E-09    600.2459583    600.2459583       138
  0.54968566E-09    606.2768335    606.2768335       139
  0.55114775E-09    612.5921891    612.5921891       140
  0.55543674E-09    618.7414481    618.7414481       141
  0.56038135E-09    625.0283738    625.0283738       142
  0.56491034E-09    637.1613206    637.1613206       143
  0.56687893E-09    643.4960602    643.4960602       144
  0.57365249E-09    643.4078032    643.4078032       145
  0.58284881E-09    649.8245551    649.8245551       146
  0.58930798E-09    661.9620521    661.9620521       147
  0.59182156E-09    674.1825590    674.1825590       148
  0.59318099E-09    661.9622070    661.9622070       149
  0.59452248E-09    668.5193087    668.5193087       150
  0.59928187E-09    674.6452068    674.6452068       151
  0.60506589E-09    680.6020307    680.6020307       152
  0.60763413E-09    687.1044519    687.1044519       153
  0.60880402E-09    693.3694920    693.3694920       154
  0.61251716E-09    699.7284251    699.7284251       155
  0.61722562E-09    705.9280397    705.9280397       156
  0.61959856E-09    723.9675748    723.9675748       157
  0.62500607E-09    705.9280105    705.9280105       158
  0.62944134E-09    705.6476694    705.6476694       159
  0.63352131E-09    711.8125138    711.8125138       160
  0.63474442E-09    711.7873898    711.7873898       161
  0.63682242E-09    711.8125180    711.8125180       162
  0.64503905E-09    718.0128032    718.0128032       163
  0.64893995E-09    724.5557208    724.5557208       164
  0.64920122E-09    730.6454727    730.6454727       165
