# Time-averaged data for fix 1
# TimeStep c_msd_all[1] c_msd_all[2] c_msd_all[3] c_msd_all[4]
31000 0.0745519 0.0776595 0.0577205 0.209932
32000 0.06579 0.0702618 0.0588782 0.19493
33000 0.0699278 0.0655484 0.0611064 0.196583
34000 0.0776442 0.0683913 0.0564267 0.202462
35000 0.0632831 0.06015 0.0583486 0.181782
36000 0.0785621 0.0861056 0.0677649 0.232433
37000 0.0739831 0.0696147 0.0670941 0.210692
38000 0.0743153 0.0677009 0.0671171 0.209133
39000 0.0752253 0.0769808 0.065507 0.217713
40000 0.073863 0.072025 0.0643459 0.210234
41000 0.073119 0.0675078 0.0644127 0.20504
42000 0.0700944 0.0639643 0.0669346 0.200993
43000 0.0778864 0.0713741 0.0652188 0.214479
44000 0.0817073 0.0634634 0.0712158 0.216386
45000 0.0829587 0.0802391 0.0684084 0.231606
46000 0.0830198 0.0787452 0.0622452 0.22401
47000 0.0917249 0.0756314 0.0657277 0.233084
48000 0.0891893 0.0723884 0.0654461 0.227024
49000 0.0785511 0.0783693 0.0668264 0.223747
50000 0.0805706 0.0695817 0.081998 0.23215
51000 0.0879205 0.0698028 0.0712475 0.228971
52000 0.0889265 0.0749631 0.070781 0.234671
53000 0.0837942 0.0801344 0.0750391 0.238968
54000 0.0879464 0.0830506 0.074607 0.245604
55000 0.0990054 0.0788971 0.0752348 0.253137
56000 0.0830134 0.0709159 0.08232 0.236249
57000 0.0871005 0.0736104 0.0768361 0.237547
58000 0.0933766 0.0749589 0.0746199 0.242955
59000 0.0897673 0.0678095 0.0759214 0.233498
60000 0.0916448 0.0793397 0.0711726 0.242157
61000 0.0817861 0.0744731 0.0719968 0.228256
62000 0.0851314 0.0712002 0.0779585 0.23429
63000 0.0928448 0.0835166 0.0727261 0.249087
64000 0.0768114 0.0663101 0.0708628 0.213984
65000 0.0904029 0.0780861 0.0786183 0.247107
66000 0.0804235 0.078139 0.0777535 0.236316
67000 0.0763506 0.0737022 0.0727709 0.222824
68000 0.0847351 0.0755603 0.0729912 0.233287
69000 0.0839334 0.0646951 0.0720968 0.220725
70000 0.097435 0.0927532 0.0736795 0.263868
71000 0.0972362 0.0714446 0.0738571 0.242538
72000 0.09147 0.0777284 0.0766555 0.245854
73000 0.0787277 0.0675703 0.0725835 0.218882
74000 0.0865151 0.0762848 0.0778236 0.240624
75000 0.0885163 0.0737535 0.0796165 0.241886
76000 0.0803238 0.0597355 0.0776209 0.21768
77000 0.0860575 0.0849268 0.071533 0.242517
78000 0.0993448 0.086586 0.0665722 0.252503
79000 0.0811362 0.0788175 0.0787287 0.238682
80000 0.0906043 0.0829692 0.0805463 0.25412
81000 0.0859587 0.0846372 0.0855107 0.256107
82000 0.079251 0.0728906 0.0713858 0.223527
83000 0.0985358 0.0826208 0.0795289 0.260686
84000 0.088526 0.0763507 0.0781172 0.242994
85000 0.0797969 0.0700456 0.0815399 0.231382
86000 0.0870422 0.0809345 0.0835178 0.251494
87000 0.0865607 0.0792175 0.0868737 0.252652
88000 0.0835822 0.0851878 0.0810485 0.249818
89000 0.0964885 0.0918176 0.0790973 0.267403
90000 0.0884157 0.0769102 0.0782835 0.243609
91000 0.102162 0.0869971 0.0772469 0.266406
92000 0.0961589 0.0783365 0.0724468 0.246942
93000 0.0932384 0.0814111 0.0773707 0.25202
94000 0.0951385 0.0865397 0.0791537 0.260832
95000 0.0938272 0.088723 0.0789627 0.261513
96000 0.0822515 0.075628 0.0821414 0.240021
97000 0.0912437 0.0893645 0.0758048 0.256413
98000 0.0947789 0.0889608 0.0857641 0.269504
99000 0.0979594 0.0918316 0.0882491 0.27804
100000 0.0990422 0.0839744 0.091752 0.274769
101000 0.0887452 0.0818511 0.0826912 0.253288
102000 0.100265 0.08491 0.0886374 0.273812
103000 0.105431 0.0871497 0.0822096 0.27479
104000 0.0999492 0.0798292 0.0833121 0.26309
105000 0.0940652 0.0882609 0.0794999 0.261826
106000 0.0921434 0.0862463 0.0877763 0.266166
107000 0.0907163 0.0690578 0.085794 0.245568
108000 0.0949965 0.0814984 0.0872865 0.263781
109000 0.0823152 0.0782258 0.0814688 0.24201
110000 0.0959184 0.085617 0.0841512 0.265687
111000 0.0985482 0.0900374 0.0849826 0.273568
112000 0.101755 0.0823873 0.0821845 0.266327
113000 0.0957706 0.0774592 0.083015 0.256245
114000 0.0918512 0.0760338 0.0813009 0.249186
115000 0.099911 0.0874906 0.0826638 0.270065
116000 0.0991867 0.0843599 0.0875705 0.271117
117000 0.0981542 0.0886299 0.0889865 0.275771
118000 0.100243 0.0852338 0.0854482 0.270925
119000 0.104728 0.0974524 0.073003 0.275183
120000 0.0919865 0.076316 0.0817119 0.250014
121000 0.103388 0.0898663 0.0805042 0.273759
122000 0.112253 0.0968636 0.0817474 0.290864
123000 0.0956841 0.0817555 0.0859479 0.263388
124000 0.104676 0.0881388 0.088899 0.281714
125000 0.104171 0.0900346 0.0894831 0.283688
126000 0.09768 0.082228 0.0801124 0.26002
127000 0.104274 0.089466 0.0813838 0.275124
128000 0.0951364 0.0787035 0.0816147 0.255455
129000 0.106748 0.0827214 0.0831133 0.272583
130000 0.109845 0.0859408 0.0851736 0.280959
131000 0.107979 0.0902239 0.0812679 0.279471
132000 0.10708 0.084198 0.0846713 0.275949
133000 0.0993551 0.0932905 0.0823329 0.274979
134000 0.104571 0.0923745 0.085564 0.28251
135000 0.1062 0.100865 0.0861767 0.293242
136000 0.107129 0.0865286 0.0880809 0.281738
137000 0.110294 0.0880508 0.0820701 0.280415
138000 0.117977 0.103639 0.0899198 0.311535
139000 0.116366 0.0856662 0.0846159 0.286648
140000 0.107135 0.0877107 0.0875761 0.282422
141000 0.105145 0.0870969 0.0842871 0.276529
142000 0.115593 0.0884 0.0821646 0.286157
143000 0.103355 0.0936897 0.088358 0.285402
144000 0.104826 0.092786 0.0844403 0.282052
145000 0.0982178 0.0882321 0.0839782 0.270428
146000 0.108726 0.103906 0.0874802 0.300112
147000 0.100017 0.0970602 0.0861177 0.283195
148000 0.100578 0.0913311 0.0916534 0.283563
149000 0.111447 0.100574 0.0920865 0.304108
150000 0.102091 0.0924406 0.0874795 0.282011
151000 0.112334 0.0940373 0.0895956 0.295967
152000 0.0992576 0.091833 0.0911994 0.28229
153000 0.111424 0.119524 0.0938946 0.324843
154000 0.107899 0.116651 0.0912121 0.315762
155000 0.107418 0.102378 0.0981334 0.30793
156000 0.10519 0.0964783 0.0908269 0.292495
157000 0.111544 0.0990225 0.091442 0.302008
158000 0.104559 0.103534 0.0875902 0.295683
159000 0.107947 0.100636 0.0881428 0.296726
160000 0.0987189 0.104193 0.0860851 0.288997
161000 0.107502 0.102323 0.0946402 0.304465
162000 0.100692 0.0963028 0.0890253 0.28602
163000 0.107873 0.11108 0.0929563 0.311909
164000 0.105465 0.0960988 0.092151 0.293715
165000 0.105827 0.0936904 0.0825423 0.282059
166000 0.109498 0.0988843 0.100277 0.30866
167000 0.105026 0.089477 0.0898731 0.284376
168000 0.115733 0.0992203 0.0896504 0.304604
169000 0.104864 0.102755 0.0899024 0.297521
170000 0.104459 0.111778 0.0901693 0.306406
171000 0.10117 0.10545 0.0873907 0.294011
172000 0.10186 0.0930256 0.0954958 0.290381
173000 0.106079 0.0973165 0.0930067 0.296402
174000 0.10197 0.0910338 0.0930391 0.286043
175000 0.111834 0.107013 0.0923122 0.311159
176000 0.10625 0.09749 0.0924444 0.296184
177000 0.107799 0.117403 0.0927461 0.317947
178000 0.104672 0.102482 0.100302 0.307456
179000 0.117531 0.106829 0.0903684 0.314728
180000 0.106209 0.0962591 0.0937303 0.296198
181000 0.125841 0.113761 0.0916229 0.331226
182000 0.100243 0.0908048 0.0916633 0.282711
183000 0.104164 0.0980988 0.0937808 0.296043
184000 0.116688 0.103841 0.0969403 0.317469
185000 0.114964 0.109736 0.0957818 0.320482
186000 0.107016 0.105059 0.0907941 0.302869
187000 0.112457 0.0977834 0.0876525 0.297893
188000 0.110079 0.101789 0.0929089 0.304777
189000 0.109164 0.0959535 0.0974264 0.302544
190000 0.116374 0.0914368 0.0957307 0.303542
191000 0.12462 0.109716 0.101138 0.335475
192000 0.117481 0.10849 0.0955267 0.321498
193000 0.112385 0.109412 0.0902023 0.312
194000 0.114822 0.10666 0.0940707 0.315552
195000 0.114524 0.110558 0.100973 0.326055
196000 0.118928 0.104957 0.0992184 0.323103
197000 0.114012 0.0998607 0.0980532 0.311926
198000 0.115754 0.101488 0.08979 0.307032
199000 0.121979 0.108447 0.101417 0.331843
200000 0.110962 0.110988 0.0998692 0.321819
201000 0.115568 0.10368 0.105908 0.325157
202000 0.110384 0.104708 0.109571 0.324663
203000 0.118091 0.104963 0.111242 0.334296
204000 0.122081 0.102057 0.104663 0.328801
205000 0.113316 0.0974037 0.0953897 0.306109
206000 0.127218 0.12653 0.0915935 0.345341
207000 0.112898 0.109293 0.0958444 0.318035
208000 0.124 0.103783 0.0913059 0.319088
209000 0.123128 0.121016 0.0928591 0.337003
210000 0.120466 0.107156 0.0986598 0.326282
211000 0.118783 0.105983 0.095861 0.320626
212000 0.122559 0.103773 0.10295 0.329283
213000 0.115325 0.102356 0.0966827 0.314363
214000 0.123439 0.11415 0.088165 0.325754
215000 0.122681 0.10583 0.09936 0.327871
216000 0.122814 0.101554 0.0953886 0.319757
217000 0.129405 0.118237 0.0959707 0.343614
218000 0.119705 0.0960419 0.0927536 0.3085
219000 0.133454 0.129087 0.101276 0.363817
220000 0.116326 0.110492 0.0955869 0.322405
221000 0.119437 0.105187 0.0982218 0.322846
222000 0.117859 0.114816 0.0989516 0.331627
223000 0.122952 0.107511 0.10036 0.330823
224000 0.111286 0.113276 0.0982258 0.322788
225000 0.131608 0.123494 0.0939652 0.349066
226000 0.122324 0.101753 0.0948789 0.318956
227000 0.121039 0.111622 0.0995681 0.33223
228000 0.125194 0.114964 0.103048 0.343205
229000 0.119661 0.0987277 0.101942 0.320331
230000 0.109986 0.0983121 0.0977089 0.306007
231000 0.112998 0.108241 0.10309 0.324328
232000 0.112363 0.105221 0.100513 0.318097
233000 0.113481 0.11634 0.10298 0.332801
234000 0.118809 0.103328 0.0957641 0.317901
235000 0.129259 0.110655 0.108663 0.348577
236000 0.127533 0.109764 0.107465 0.344762
237000 0.128871 0.112682 0.107471 0.349023
238000 0.140347 0.104829 0.0971185 0.342295
239000 0.13621 0.115256 0.0991842 0.35065
240000 0.141533 0.112076 0.093691 0.3473
241000 0.131067 0.109013 0.100174 0.340255
242000 0.139394 0.124078 0.105674 0.369146
243000 0.136102 0.118935 0.100879 0.355916
244000 0.13313 0.111081 0.10125 0.345461
245000 0.133859 0.117077 0.10511 0.356046
246000 0.125551 0.105352 0.115627 0.346529
247000 0.134271 0.106921 0.105576 0.346769
248000 0.14554 0.103679 0.105947 0.355167
249000 0.12974 0.101605 0.110938 0.342284
250000 0.136801 0.109138 0.10919 0.355129
251000 0.140856 0.10238 0.120565 0.363801
252000 0.136991 0.109495 0.109088 0.355574
253000 0.130008 0.101981 0.11868 0.350668
254000 0.146375 0.0997242 0.109421 0.35552
255000 0.142938 0.116434 0.110386 0.369758
256000 0.137125 0.10621 0.107042 0.350377
257000 0.155128 0.101353 0.107951 0.364432
258000 0.136124 0.106579 0.108461 0.351164
259000 0.134523 0.101028 0.104571 0.340122
260000 0.140068 0.11292 0.112822 0.36581
261000 0.123595 0.106084 0.109938 0.339617
262000 0.142268 0.104729 0.112477 0.359474
263000 0.143769 0.107367 0.107999 0.359135
264000 0.138353 0.109854 0.11145 0.359657
265000 0.146142 0.108517 0.111091 0.36575
266000 0.145481 0.1126 0.104066 0.362147
267000 0.143181 0.120435 0.106689 0.370305
268000 0.125019 0.110852 0.100978 0.336849
269000 0.138808 0.122419 0.103028 0.364255
270000 0.130829 0.125912 0.103042 0.359783
271000 0.135293 0.121581 0.113391 0.370265
272000 0.126675 0.105122 0.103221 0.335018
273000 0.132936 0.116258 0.10496 0.354154
274000 0.130858 0.102146 0.098917 0.33192
275000 0.147237 0.114449 0.100991 0.362677
276000 0.136854 0.106463 0.104418 0.347735
277000 0.127922 0.0965544 0.0983839 0.32286
278000 0.139379 0.106405 0.106015 0.3518
279000 0.128329 0.114993 0.11693 0.360252
280000 0.129527 0.122299 0.120325 0.372151
281000 0.138343 0.12477 0.104247 0.36736
282000 0.13152 0.130774 0.111777 0.374071
283000 0.132806 0.115818 0.11104 0.359663
284000 0.139085 0.118878 0.114503 0.372466
285000 0.140743 0.124987 0.113875 0.379605
286000 0.140934 0.119805 0.115106 0.375844
287000 0.132926 0.120364 0.114165 0.367454
288000 0.142742 0.127169 0.122782 0.392693
289000 0.132271 0.125525 0.115295 0.373091
290000 0.131362 0.129785 0.118064 0.37921
291000 0.136856 0.12613 0.11937 0.382357
292000 0.142009 0.136452 0.10885 0.387311
293000 0.139637 0.121306 0.112499 0.373443
294000 0.129994 0.132561 0.111284 0.373839
295000 0.139666 0.129166 0.117858 0.38669
296000 0.130238 0.123879 0.11437 0.368486
297000 0.13768 0.122046 0.115298 0.375025
298000 0.138514 0.134594 0.108873 0.381982
299000 0.139533 0.117803 0.106116 0.363451
300000 0.138812 0.121619 0.120457 0.380888
301000 0.139937 0.118917 0.122224 0.381078
302000 0.146206 0.120549 0.111177 0.377931
303000 0.139114 0.11749 0.119541 0.376146
304000 0.146064 0.121199 0.118828 0.386091
305000 0.147707 0.136239 0.114663 0.39861
306000 0.139881 0.139978 0.11957 0.399429
307000 0.147876 0.137941 0.118858 0.404675
308000 0.137363 0.118881 0.119843 0.376087
309000 0.139298 0.126602 0.121422 0.387321
310000 0.142803 0.115561 0.121038 0.379402
311000 0.154669 0.126325 0.10877 0.389764
312000 0.140004 0.130553 0.118316 0.388874
313000 0.155288 0.136528 0.117671 0.409487
314000 0.14712 0.136336 0.111539 0.394996
315000 0.150889 0.131963 0.115859 0.398711
316000 0.154039 0.123514 0.12369 0.401242
317000 0.149031 0.133255 0.118111 0.400397
318000 0.142046 0.12608 0.109558 0.377683
319000 0.145473 0.124132 0.109082 0.378687
320000 0.160665 0.137928 0.11371 0.412303
321000 0.151017 0.126308 0.116844 0.394169
322000 0.151156 0.128966 0.113598 0.393719
323000 0.149411 0.130177 0.115484 0.395073
324000 0.142296 0.132417 0.115537 0.39025
325000 0.142158 0.133095 0.131106 0.406359
326000 0.146696 0.138751 0.121362 0.406808
327000 0.146655 0.140308 0.121695 0.408658
328000 0.156338 0.130019 0.121588 0.407944
329000 0.153186 0.142133 0.114238 0.409557
330000 0.159381 0.145217 0.120678 0.425277
331000 0.158414 0.137106 0.122386 0.417905
332000 0.149915 0.137234 0.119459 0.406608
333000 0.148992 0.132088 0.117455 0.398535
334000 0.147583 0.137128 0.128286 0.412997
335000 0.160122 0.143555 0.125505 0.429181
336000 0.148366 0.136024 0.12556 0.40995
337000 0.155219 0.15315 0.118105 0.426474
338000 0.140519 0.139942 0.12447 0.404931
339000 0.163019 0.147405 0.134059 0.444483
340000 0.16295 0.150749 0.133194 0.446893
341000 0.140563 0.132156 0.124354 0.397073
342000 0.164502 0.154878 0.128444 0.447824
343000 0.154429 0.130484 0.131395 0.416308
344000 0.154882 0.131542 0.124379 0.410802
345000 0.148684 0.140188 0.125759 0.414631
346000 0.148319 0.140434 0.128916 0.417669
347000 0.146104 0.149836 0.129938 0.425877
348000 0.152637 0.135568 0.129795 0.418
349000 0.156662 0.145996 0.135215 0.437873
350000 0.144309 0.134499 0.137149 0.415956
351000 0.14669 0.134902 0.134124 0.415717
352000 0.151809 0.141662 0.127042 0.420514
353000 0.147242 0.13467 0.133329 0.415241
354000 0.153916 0.144752 0.132029 0.430697
355000 0.15162 0.135837 0.130157 0.417615
356000 0.160976 0.142051 0.131296 0.434323
357000 0.155158 0.151343 0.133572 0.440074
358000 0.161759 0.137076 0.130614 0.429449
359000 0.162012 0.14752 0.133996 0.443528
360000 0.156284 0.147941 0.134595 0.43882
361000 0.151671 0.139669 0.139876 0.431215
362000 0.154308 0.139395 0.150888 0.44459
363000 0.151489 0.146409 0.15317 0.451067
364000 0.144654 0.138554 0.139339 0.422546
365000 0.164272 0.149017 0.138383 0.451672
366000 0.147221 0.144325 0.135337 0.426884
367000 0.155352 0.149474 0.133071 0.437897
368000 0.160094 0.144657 0.136444 0.441196
369000 0.150297 0.144667 0.13299 0.427954
370000 0.14989 0.145754 0.139011 0.434654
371000 0.151469 0.143719 0.129358 0.424546
372000 0.149901 0.1459 0.143178 0.438979
373000 0.163066 0.149754 0.13735 0.45017
374000 0.154218 0.139776 0.133316 0.42731
375000 0.171903 0.15754 0.138789 0.468232
376000 0.160386 0.142029 0.133484 0.435899
377000 0.158519 0.147398 0.13582 0.441737
378000 0.163997 0.150623 0.131991 0.446611
379000 0.157297 0.154907 0.126502 0.438705
380000 0.1599 0.138566 0.132252 0.430719
381000 0.172118 0.156189 0.131768 0.460076
382000 0.161323 0.144424 0.142472 0.448218
383000 0.152484 0.145671 0.14175 0.439906
384000 0.155139 0.137525 0.13935 0.432014
385000 0.153209 0.144553 0.138485 0.436247
386000 0.151674 0.14743 0.140732 0.439836
387000 0.155998 0.157438 0.137652 0.451088
388000 0.166095 0.165668 0.143117 0.47488
389000 0.165066 0.156802 0.13709 0.458959
390000 0.164861 0.162342 0.13859 0.465794
391000 0.161986 0.156945 0.138575 0.457506
392000 0.173649 0.158024 0.140501 0.472175
393000 0.164763 0.163357 0.146688 0.474808
394000 0.159131 0.146549 0.135975 0.441655
395000 0.153173 0.151352 0.143662 0.448187
396000 0.164957 0.161189 0.141087 0.467232
397000 0.162865 0.162543 0.147756 0.473164
398000 0.157411 0.159714 0.144873 0.461998
399000 0.159344 0.153048 0.140678 0.45307
400000 0.161626 0.159121 0.14403 0.464777
401000 0.166311 0.158819 0.139222 0.464351
402000 0.165521 0.159939 0.141776 0.467235
403000 0.159552 0.168591 0.139217 0.46736
404000 0.167411 0.152495 0.148852 0.468758
405000 0.156742 0.139989 0.133332 0.430064
406000 0.158607 0.174704 0.144979 0.47829
407000 0.160136 0.151134 0.141158 0.452428
