 #  Elapsed Time    Sqr Displ.      Sqr Displ.     Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni        Atom NiV  ********
  0.00000000E+00      0.0000000      0.0000000      0.0000000         0
  0.37517584E-11      6.0331254      6.0327436      0.0003818         1
  0.49985776E-11     12.1514672     12.1501856      0.0012816         2
  0.71293627E-11     18.3255945     18.3235512      0.0020433         3
  0.16029087E-10     24.5699644     24.5677259      0.0022385         4
  0.22807597E-10     30.7052017     30.7028969      0.0023048         5
  0.25066404E-10     36.8836501     36.8801807      0.0034694         6
  0.32866791E-10     43.0891411     43.0851364      0.0040047         7
  0.68922367E-10     49.2493722     49.2439870      0.0053852         8
  0.69212134E-10     55.4147854     55.4070641      0.0077213         9
  0.70757911E-10     61.5899995     61.5788652      0.0111343        10
  0.72796582E-10     67.7539232     67.7398230      0.0141002        11
  0.73596791E-10     74.0076605     73.9951272      0.0125333        12
  0.76611752E-10     80.1288617     80.1194116      0.0094501        13
  0.83873675E-10     86.4592351     86.4500141      0.0092210        14
  0.87735177E-10     92.6030740     92.5946536      0.0084204        15
  0.90759359E-10     98.8844989     98.8778292      0.0066697        16
  0.93761830E-10    111.2390738    111.2321576      0.0069161        17
  0.96613618E-10    117.5377160    117.5295621      0.0081538        18
  0.96692084E-10    123.6872739    123.6791519      0.0081220        19
  0.10601096E-09    129.9851498    129.9770162      0.0081336        20
  0.11715478E-09    136.0318648    136.0211302      0.0107346        21
  0.11899125E-09    142.2783709    142.2660013      0.0123696        22
  0.12285623E-09    148.4750172    148.4618081      0.0132091        23
  0.13040085E-09    154.7445665    154.7347778      0.0097886        24
  0.13093679E-09    148.4750100    148.4618009      0.0132091        25
  0.13142377E-09    154.6601828    154.6501723      0.0100105        26
  0.13157911E-09    160.8624844    160.8523598      0.0101246        27
  0.13226444E-09    167.1042530    167.0967404      0.0075127        28
  0.13556091E-09    173.3018219    173.2919436      0.0098783        29
  0.14060807E-09    167.1042516    167.0967390      0.0075126        30
  0.14561498E-09    173.4143114    173.4063986      0.0079128        31
  0.14705160E-09    179.5133543    179.5060305      0.0073238        32
  0.14875643E-09    185.7706858    185.7646538      0.0060320        33
  0.15135913E-09    192.0866287    192.0807917      0.0058370        34
  0.15403791E-09    198.0383005    198.0306016      0.0076989        35
  0.15478852E-09    204.2106756    204.2009538      0.0097218        36
  0.15896950E-09    210.3413363    210.3299863      0.0113500        37
  0.16574835E-09    216.8637297    216.8541913      0.0095384        38
  0.16925735E-09    223.1124073    223.1047527      0.0076547        39
  0.17393675E-09    229.1991663    229.1920169      0.0071494        40
  0.18122362E-09    235.3726901    235.3673112      0.0053788        41
  0.18854468E-09    241.6041908    241.5995081      0.0046826        42
  0.19572573E-09    247.8331452    247.8299676      0.0031775        43
  0.20298527E-09    241.6041459    241.5994633      0.0046826        44
  0.20787503E-09    247.7808362    247.7768244      0.0040118        45
  0.20856131E-09    254.0686990    254.0635689      0.0051301        46
  0.21048299E-09    260.1986633    260.1938029      0.0048604        47
  0.21311490E-09    266.5126750    266.5094709      0.0032041        48
  0.21544991E-09    272.5352679    272.5308145      0.0044533        49
  0.21775137E-09    278.8384365    278.8339421      0.0044944        50
  0.21839400E-09    278.8173718    278.8140874      0.0032844        51
  0.21936794E-09    285.0106925    285.0044483      0.0062443        52
  0.22599316E-09    291.2429527    291.2355607      0.0073920        53
  0.22717320E-09    297.5066786    297.4996886      0.0069900        54
  0.22847531E-09    303.5725399    303.5633903      0.0091496        55
  0.22877298E-09    309.6831448    309.6711847      0.0119601        56
  0.24154568E-09    315.9988108    315.9905200      0.0082908        57
  0.24759171E-09    322.0576739    322.0482080      0.0094659        58
  0.25059883E-09    328.4826241    328.4749465      0.0076776        59
  0.25177031E-09    334.6733880    334.6686857      0.0047022        60
  0.25223995E-09    340.7260660    340.7202213      0.0058448        61
  0.25395110E-09    347.0509763    347.0462557      0.0047206        62
  0.25838019E-09    353.3264712    353.3216069      0.0048644        63
  0.27070746E-09    353.2277137    353.2232173      0.0044964        64
  0.27454312E-09    359.2674074    359.2626811      0.0047263        65
  0.27969897E-09    365.6055913    365.6019904      0.0036008        66
  0.28129443E-09    371.8092206    371.8066874      0.0025332        67
  0.28996763E-09    378.0469823    378.0447988      0.0021835        68
  0.29075238E-09    384.1966947    384.1952885      0.0014062        69
  0.29116957E-09    390.3673790    390.3657473      0.0016317        70
  0.29671919E-09    390.4418874    390.4401504      0.0017370        71
  0.29875491E-09    402.6479479    402.6459373      0.0020106        72
  0.30649809E-09    408.9637417    408.9600073      0.0037345        73
  0.30700843E-09    415.0855666    415.0826030      0.0029637        74
  0.32366208E-09    421.3342689    421.3308011      0.0034678        75
  0.32819212E-09    427.5258236    427.5223660      0.0034576        76
  0.33135239E-09    433.6978557    433.6930705      0.0047851        77
  0.33198849E-09    439.9382041    439.9309211      0.0072831        78
  0.33315085E-09    458.2049629    458.1956913      0.0092716        79
  0.33318857E-09    464.8698071    464.8609740      0.0088331        80
  0.33729866E-09    470.9307985    470.9235142      0.0072843        81
  0.34564482E-09    477.1082803    477.1006874      0.0075929        82
  0.35686254E-09    483.4031268    483.3947441      0.0083827        83
  0.35903936E-09    489.5336428    489.5234380      0.0102049        84
  0.37099133E-09    495.7636233    495.7521444      0.0114789        85
  0.37180982E-09    501.8352963    501.8212373      0.0140590        86
  0.37373246E-09    508.1179664    508.1050323      0.0129341        87
  0.37722148E-09    520.4575015    520.4476383      0.0098632        88
  0.37910305E-09    514.4973989    514.4885135      0.0088853        89
  0.38094078E-09    514.4299044    514.4188386      0.0110658        90
  0.38389259E-09    520.2557737    520.2422041      0.0135695        91
  0.38641891E-09    526.6992420    526.6844071      0.0148349        92
  0.38674355E-09    533.0028981    532.9870414      0.0158567        93
  0.39804347E-09    539.1221113    539.1085553      0.0135560        94
  0.40101057E-09    533.0028553    532.9869986      0.0158567        95
  0.41724165E-09    539.1776352    539.1595824      0.0180528        96
  0.42123789E-09    533.0028517    532.9869951      0.0158567        97
  0.42465845E-09    539.0940681    539.0775570      0.0165112        98
  0.43147119E-09    545.4026837    545.3894462      0.0132375        99
  0.43709328E-09    551.6105187    551.5977185      0.0128002       100
  0.44357905E-09    557.7762772    557.7628035      0.0134737       101
  0.44387177E-09    563.9106408    563.8985144      0.0121264       102
  0.44740303E-09    570.1483123    570.1342679      0.0140443       103
  0.45613292E-09    576.4329512    576.4209342      0.0120170       104
  0.46470286E-09    582.3023098    582.2879083      0.0144015       105
  0.46488410E-09    582.2946054    582.2806956      0.0139098       106
  0.47729000E-09    588.9138126    588.9018181      0.0119945       107
  0.47785738E-09    601.1913891    601.1838208      0.0075683       108
  0.48043294E-09    607.5002161    607.4932396      0.0069765       109
  0.48057693E-09    619.4394440    619.4331554      0.0062885       110
  0.48180632E-09    625.8508465    625.8428860      0.0079605       111
  0.49301639E-09    632.1721829    632.1652287      0.0069541       112
  0.49465131E-09    638.4281570    638.4197065      0.0084505       113
  0.49555050E-09    644.4014058    644.3905213      0.0108844       114
  0.49673947E-09    650.6946224    650.6847975      0.0098249       115
  0.49997454E-09    669.2441380    669.2348892      0.0092488       116
  0.50583189E-09    675.7514165    675.7419456      0.0094710       117
  0.50622474E-09    681.5470710    681.5355294      0.0115416       118
  0.52643129E-09    687.9520766    687.9404481      0.0116286       119
