# Time-averaged data for fix 1
# TimeStep c_msd_all[1] c_msd_all[2] c_msd_all[3] c_msd_all[4]
31000 0.0779361 0.0806723 0.0558279 0.214436
32000 0.0696089 0.0731771 0.0662373 0.209023
33000 0.0711926 0.0648046 0.0674711 0.203468
34000 0.0717242 0.0705463 0.0776821 0.219953
35000 0.0630502 0.0634677 0.0710584 0.197576
36000 0.0686379 0.0657273 0.0745684 0.208934
37000 0.074857 0.06961 0.0758349 0.220302
38000 0.0673198 0.0701762 0.0652047 0.202701
39000 0.0652303 0.0699207 0.0701795 0.20533
40000 0.0770304 0.0733466 0.0672678 0.217645
41000 0.0667279 0.0642882 0.0708181 0.201834
42000 0.0705717 0.0749773 0.0776781 0.223227
43000 0.0647961 0.0643864 0.0762028 0.205385
44000 0.0747889 0.0655352 0.0765947 0.216919
45000 0.071818 0.0761807 0.0844572 0.232456
46000 0.06269 0.0686526 0.0704389 0.201781
47000 0.0666793 0.0696016 0.0714749 0.207756
48000 0.0695363 0.077245 0.0729141 0.219695
49000 0.0605779 0.071027 0.0820825 0.213688
50000 0.0695183 0.0795783 0.0705596 0.219656
51000 0.0791541 0.081192 0.0707868 0.231133
52000 0.0722353 0.0715479 0.0726869 0.21647
53000 0.0785832 0.0837038 0.072425 0.234712
54000 0.0664212 0.0725072 0.0766056 0.215534
55000 0.0681961 0.0787163 0.0741803 0.221093
56000 0.0682257 0.084196 0.0779005 0.230322
57000 0.0657801 0.0730308 0.0735089 0.21232
58000 0.0753877 0.0800509 0.072065 0.227504
59000 0.0750547 0.0740028 0.0756666 0.224724
60000 0.080046 0.0843112 0.0741357 0.238493
61000 0.0755394 0.0919602 0.0773096 0.244809
62000 0.0678816 0.0697127 0.0838994 0.221494
63000 0.0765498 0.0869166 0.0808148 0.244281
64000 0.0725208 0.0785342 0.0816441 0.232699
65000 0.0720381 0.0789841 0.081704 0.232726
66000 0.0676012 0.0813552 0.0817618 0.230718
67000 0.0722014 0.0732387 0.0847113 0.230151
68000 0.084652 0.0896877 0.0876392 0.261979
69000 0.0756442 0.0715274 0.0818665 0.229038
70000 0.0780151 0.089495 0.082012 0.249522
71000 0.0681574 0.0753619 0.0810929 0.224612
72000 0.0639621 0.0768499 0.0779451 0.218757
73000 0.0809489 0.083512 0.0850907 0.249552
74000 0.0729879 0.0748383 0.080713 0.228539
75000 0.0731092 0.080945 0.0860464 0.240101
76000 0.0851238 0.0923913 0.088116 0.265631
77000 0.0727397 0.079616 0.0887006 0.241056
78000 0.075751 0.0869269 0.0882038 0.250882
79000 0.0728109 0.0805437 0.0949897 0.248344
80000 0.07781 0.0774171 0.0905756 0.245803
81000 0.0733689 0.0921501 0.0927509 0.25827
82000 0.0766932 0.0900918 0.0904084 0.257193
83000 0.0762996 0.0906383 0.0917592 0.258697
84000 0.0748632 0.0885869 0.0898085 0.253259
85000 0.077437 0.0846416 0.10208 0.264159
86000 0.0749659 0.0889278 0.0938484 0.257742
87000 0.0787997 0.104133 0.0947332 0.277666
88000 0.0772029 0.087188 0.0869604 0.251351
89000 0.0779836 0.100359 0.0927848 0.271127
90000 0.0810132 0.0976107 0.0922552 0.270879
91000 0.0841093 0.0832502 0.0939921 0.261352
92000 0.0759224 0.0803392 0.090496 0.246758
93000 0.0888204 0.101368 0.0880621 0.278251
94000 0.0731368 0.0829043 0.0959648 0.252006
95000 0.0794949 0.0815276 0.0949602 0.255983
96000 0.0804694 0.0890356 0.0894732 0.258978
97000 0.0742739 0.0801866 0.0943832 0.248844
98000 0.0827251 0.10261 0.0924614 0.277796
99000 0.0827872 0.0950477 0.094213 0.272048
100000 0.0843084 0.0997321 0.0898563 0.273897
101000 0.078234 0.0930989 0.0863909 0.257724
102000 0.0887679 0.0930742 0.0917 0.273542
103000 0.0781153 0.0915896 0.0902882 0.259993
104000 0.0854871 0.0944649 0.0952922 0.275244
105000 0.0820608 0.0974535 0.0978035 0.277318
106000 0.0801597 0.0919086 0.0916214 0.26369
107000 0.0835653 0.0868333 0.0926096 0.263008
108000 0.0884577 0.0884171 0.0995692 0.276444
109000 0.0778138 0.0936949 0.101063 0.272572
110000 0.089369 0.105848 0.0979037 0.293121
111000 0.0815947 0.0864124 0.0906802 0.258687
112000 0.0799147 0.089353 0.0893121 0.25858
113000 0.0858747 0.091965 0.0936054 0.271445
114000 0.0777853 0.0902311 0.104877 0.272894
115000 0.0854803 0.0984258 0.113063 0.296969
116000 0.0833453 0.100002 0.105854 0.289201
117000 0.0891781 0.0995925 0.111189 0.299959
118000 0.0899422 0.104424 0.104608 0.298975
119000 0.0865255 0.0948759 0.104455 0.285857
120000 0.0841595 0.102728 0.0962004 0.283088
121000 0.0827906 0.107299 0.105764 0.295854
122000 0.0790507 0.0927963 0.0977761 0.269623
123000 0.0799391 0.101257 0.103787 0.284983
124000 0.0718399 0.0956843 0.0935987 0.261123
125000 0.0879367 0.100552 0.101748 0.290236
126000 0.0824696 0.0940562 0.107725 0.284251
127000 0.0801052 0.103445 0.1043 0.28785
128000 0.106621 0.123964 0.0997386 0.330324
129000 0.0859147 0.0990243 0.103026 0.287965
130000 0.084978 0.108352 0.103857 0.297187
131000 0.0865508 0.105279 0.10699 0.29882
132000 0.0827746 0.0915039 0.104435 0.278714
133000 0.0906976 0.103037 0.097344 0.291079
134000 0.0819593 0.102809 0.1079 0.292668
135000 0.090786 0.113317 0.109824 0.313927
136000 0.0875284 0.103543 0.113077 0.304148
137000 0.0976588 0.10537 0.10496 0.307989
