 #  Elapsed Time    Sqr Displ.      Sqr Displ.     Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni        Atom NiV  ********
  0.00000000E+00      0.0000000      0.0000000      0.0000000         0
  0.74040618E-11      5.9421071      5.9407819      0.0013253         1
  0.81162590E-11     12.1994775     12.1963321      0.0031453         2
  0.82160972E-11     17.9489609     12.2421901      5.7067708         3
  0.83335525E-11     24.1330538     12.3350427     11.7980110         4
  0.84204849E-11     29.7949098     12.2900177     17.5048921         5
  0.12050394E-10     36.4001240     12.2704598     24.1296642         6
  0.12527835E-10     42.6926917     12.2783744     30.4143174         7
  0.13745312E-10     48.9996917     12.2845234     36.7151684         8
  0.14119636E-10     48.7932537     12.2667933     36.5264605         9
  0.14339309E-10     48.9995712     12.2845223     36.7150489        10
  0.19040409E-10     48.7932548     12.2667934     36.5264614        11
  0.19701744E-10     42.4149073     12.2902611     30.1246462        12
  0.19903940E-10     48.9609456     12.2730688     36.6878768        13
  0.20273074E-10     54.9275421     12.2647453     42.6627968        14
  0.21585691E-10     61.3022844     18.4199666     42.8823178        15
  0.21715889E-10     67.3923527     18.4810676     48.9112851        16
  0.22193302E-10     73.4349263     18.4793226     54.9556037        17
  0.22659747E-10     79.9351452     18.5230580     61.4120873        18
  0.22959375E-10     85.9387383     18.5139303     67.4248080        19
  0.23968284E-10     79.9351462     18.5230574     61.4120887        20
  0.24317042E-10     73.7931346     18.5172466     55.2758881        21
  0.24404120E-10     73.6708547     18.5234073     55.1474474        22
  0.41750944E-10     85.8577316     30.6395992     55.2181325        23
  0.41754540E-10     73.6709893     18.5235130     55.1474763        24
  0.51602076E-10     79.8732677     18.5760238     61.2972439        25
  0.53196638E-10     73.6709637     18.5235084     55.1474553        26
  0.13351750E-09     85.8577257     30.6395944     55.2181314        27
  0.13436775E-09     73.6710831     18.5236211     55.1474621        28
  0.13866037E-09     79.8732709     18.5760245     61.2972464        29
  0.14012679E-09     73.6710464     18.5236218     55.1474246        30
  0.15893077E-09     79.8732719     18.5760249     61.2972470        31
  0.15980141E-09     73.6710013     18.5236269     55.1473745        32
  0.17702436E-09     79.8732729     18.5760253     61.2972476        33
  0.17836671E-09     73.6709568     18.5236322     55.1473246        34
  0.18885284E-09     79.7473552     18.4572424     61.2901128        35
  0.18934762E-09     85.9210238     18.5804814     67.3405425        36
  0.19094237E-09     91.9134366     18.5260758     73.3873608        37
  0.19454487E-09     85.9210407     18.5804928     67.3405479        38
  0.19851924E-09     91.9134364     18.5260750     73.3873614        39
  0.20087678E-09     85.9210576     18.5805043     67.3405533        40
  0.21424905E-09     97.0093935     29.8680673     67.1413262        41
  0.21431516E-09    103.6006077     30.5583407     73.0422670        42
  0.21433426E-09    109.2583775     30.5944826     78.6638950        43
  0.21451011E-09    103.9713691     25.1172257     78.8541434        44
  0.21465099E-09    104.3548810     24.8311993     79.5236818        45
  0.21526222E-09    110.3793388     30.8272666     79.5520721        46
  0.21928184E-09    104.3549021     24.8312146     79.5236875        47
  0.22092253E-09    110.3334906     30.7579989     79.5754917        48
  0.22189202E-09    104.3549151     24.8312290     79.5236861        49
  0.22266437E-09    110.1413930     24.6581314     85.4832615        50
  0.22474296E-09    129.0410652     43.4271224     85.6139428        51
  0.22587139E-09    152.4411704     67.1350523     85.3061181        52
  0.22855728E-09    129.0410902     43.4271179     85.6139723        53
  0.29539113E-09    110.2046650     24.6773587     85.5273063        54
  0.29979823E-09    116.0334745     24.8331017     91.2003729        55
  0.30004305E-09    110.2045221     24.6773484     85.5271738        56
  0.30013753E-09    129.0652827     43.4437246     85.6215581        57
  0.30158499E-09    152.4441968     67.1384279     85.3057689        58
  0.30319266E-09    159.1505991     67.8793093     91.2712898        59
  0.30648533E-09    152.4442151     67.1384321     85.3057829        60
  0.31170300E-09    159.3609668     67.5573095     91.8036572        61
  0.31190659E-09    185.9861052     93.8310955     92.1550097        62
  0.31241315E-09    159.3610899     67.5573883     91.8037016        63
  0.31282868E-09    147.8278797     56.0014004     91.8264792        64
  0.31764999E-09    159.9459503     55.9624203    103.9835300        65
  0.31767281E-09    147.8278897     56.0014083     91.8264815        66
  0.32245423E-09    159.9505206     55.8753143    104.0752063        67
  0.32263470E-09    141.4091688     37.1459901    104.2631786        68
  0.36963100E-09    159.9505254     55.8753190    104.0752064        69
  0.37390758E-09    171.4519526     67.5137769    103.9381757        70
  0.37473899E-09    147.5950287     43.3887696    104.2062592        71
  0.38524770E-09    171.4519598     67.5137828    103.9381770        72
  0.41722671E-09    178.0704472     68.1484393    109.9220079        73
  0.41727135E-09    196.3809403     85.7706565    110.6102838        74
  0.50951182E-09    201.4648836     85.0596066    116.4052770        75
  0.50970381E-09    172.5105380     56.0658140    116.4447240        76
  0.51091271E-09    201.4648696     85.0596034    116.4052662        77
  0.51125158E-09    208.4594994     85.7263822    122.7331172        78
  0.51174935E-09    201.4648657     85.0596156    116.4052501        79
  0.51277739E-09    172.5107710     56.0676202    116.4431508        80
  0.51285171E-09    201.4648481     85.0596088    116.4052392        81
  0.51552681E-09    172.5107698     56.0676192    116.4431506        82
  0.51649771E-09    201.4648322     85.0596038    116.4052284        83
  0.51677066E-09    172.5107685     56.0676181    116.4431504        84
  0.51804039E-09    201.4648160     85.0595985    116.4052176        85
  0.51820352E-09    208.6381361     92.0591898    116.5789462        86
  0.51827884E-09    214.4038206     92.2894042    122.1144163        87
  0.51828708E-09    219.2098893     92.1289263    127.0809629        88
  0.51865010E-09    213.9243728     92.0235309    121.9008419        89
  0.51883435E-09    208.5961586     92.0560414    116.5401172        90
  0.52054544E-09    207.8600498     91.9524774    115.9075724        91
  0.52086717E-09    208.5960665     92.0558920    116.5401745        92
  0.52182249E-09    214.4050601     92.2899200    122.1151401        93
  0.52202566E-09    208.5960806     92.0559153    116.5401653        94
  0.52275726E-09    207.8600458     91.9524745    115.9075714        95
  0.52327102E-09    208.7456014     92.2195270    116.5260744        96
  0.52388552E-09    207.8600460     91.9524753    115.9075707        97
  0.52440538E-09    208.5403619     92.0518242    116.4885377        98
  0.52545457E-09    207.8600462     91.9524762    115.9075700        99
  0.52550376E-09    208.5402698     92.0516749    116.4885949       100
  0.52597764E-09    214.8354165     92.1617936    122.6736230       101
  0.52687445E-09    220.9696830     92.0588231    128.9108599       102
  0.52696436E-09    221.2639629     92.0732803    129.1906827       103
  0.52753546E-09    226.5300069     97.7967091    128.7332978       104
  0.52757551E-09    243.8706725    115.0476438    128.8230287       105
  0.52761910E-09    244.9185208    116.0566272    128.8618937       106
  0.52953151E-09    243.8706710    115.0476376    128.8230334       107
  0.53000733E-09    214.8858263     85.9770068    128.9088196       108
  0.53048170E-09    243.8704961    115.0475634    128.8229327       109
  0.53124284E-09    244.9185320    116.0566339    128.8618981       110
  0.53472479E-09    226.3743832     97.7082427    128.6661405       111
  0.53513158E-09    221.2712014     92.0792573    129.1919441       112
  0.53917670E-09    221.0362436     92.4350266    128.6012170       113
  0.53939068E-09    221.2712121     92.0793233    129.1918887       114
  0.54028549E-09    227.0525300     92.4255548    134.6269752       115
  0.54049428E-09    239.2811230     92.6488380    146.6322850       116
  0.54049677E-09    239.2562824     92.2023531    147.0539293       117
  0.54281195E-09    257.8617227     92.2354150    165.6263077       118
  0.54282752E-09    239.2562833     92.2023522    147.0539311       119
  0.54346024E-09    245.0855418     92.4381211    152.6474207       120
  0.54441993E-09    245.3431143     92.5673044    152.7758099       121
  0.54456549E-09    245.0855113     92.4381543    152.6473570       122
  0.54636952E-09    245.3431090     92.5673014    152.7758076       123
  0.54642601E-09    245.0854808     92.4381876    152.6472932       124
  0.54843078E-09    245.3431037     92.5672983    152.7758054       125
  0.54849970E-09    245.0854503     92.4382208    152.6472294       126
  0.55189825E-09    263.7813911     92.2467578    171.5346334       127
  0.55873284E-09    245.0854552     92.4382187    152.6472365       128
  0.55971936E-09    263.7813464     92.2468026    171.5345438       129
  0.56730334E-09    263.9334968     92.3212768    171.6122201       130
  0.56760683E-09    263.7866077     92.5199713    171.2666364       131
  0.56796502E-09    263.9334988     92.3212777    171.6122211       132
  0.56801221E-09    263.8281710     92.2308037    171.5973672       133
  0.57537027E-09    263.9335007     92.3212786    171.6122221       134
  0.57617936E-09    263.8281820     92.2308187    171.5973633       135
  0.57817939E-09    257.9425205     92.2306387    165.7118818       136
  0.57898737E-09    257.9965077     92.2708146    165.7256931       137
  0.58010643E-09    239.2555625     92.6005799    146.6549826       138
  0.58013318E-09    233.4070600     92.0218705    141.3851895       139
  0.58048397E-09    233.1451564     92.4224233    140.7227331       140
  0.58092912E-09    245.7734706     92.2360746    153.5373960       141
  0.58257150E-09    252.0502057     92.3220096    159.7281961       142
  0.58270418E-09    245.7734900     92.2360897    153.5374004       143
  0.58342704E-09    252.0502070     92.3220105    159.7281965       144
  0.58357458E-09    245.7735094     92.2361047    153.5374047       145
  0.58897259E-09    252.0502083     92.3220114    159.7281970       146
  0.59212118E-09    245.7735289     92.2361198    153.5374091       147
  0.59299751E-09    227.0678135     74.0803168    152.9874967       148
  0.59319739E-09    203.0453896     49.6782618    153.3671277       149
  0.59768583E-09    209.0997422     49.7091980    159.3905443       150
  0.59801024E-09    215.8667790     50.4487986    165.4179804       151
  0.59835171E-09    245.5589932     79.7609032    165.7980901       152
  0.60085180E-09    258.0990201     79.8029543    178.2960658       153
  0.60100563E-09    245.5587983     79.7608973    165.7979010       154
  0.60504349E-09    263.5832916     98.0875554    165.4957361       155
  0.60542507E-09    245.5589105     79.7608849    165.7980256       156
  0.62524948E-09    258.0990935     79.8029490    178.2961444       157
  0.62590666E-09    245.5587155     79.7608790    165.7978364       158
  0.63149027E-09    258.0990905     79.8029481    178.2961424       159
  0.63213592E-09    245.5585205     79.7608732    165.7976474       160
  0.63948648E-09    250.4391626     85.3518608    165.0873019       161
  0.63968077E-09    257.1063023     91.4479107    165.6583916       162
  0.64134858E-09    239.7091110     74.1985867    165.5105243       163
  0.64157828E-09    257.1061332     91.4479033    165.6582299       164
  0.64607253E-09    250.2593581     85.3506038    164.9087543       165
  0.64650769E-09    257.1062256     91.4479270    165.6582986       166
  0.64672182E-09    250.2593574     85.3506020    164.9087554       167
  0.64676622E-09    267.8831407    102.9133277    164.9698130       168
  0.64689370E-09    250.2591488     85.3506786    164.9084702       169
  0.64742247E-09    245.1385314     85.9519494    159.1865820       170
  0.64772140E-09    239.8098780     80.1258141    159.6840639       171
  0.64780498E-09    245.5677353     79.7731171    165.7946183       172
  0.65089128E-09    239.8098801     80.1258179    159.6840623       173
  0.65101848E-09    246.0718959     79.9841250    166.0877709       174
  0.65806392E-09    239.8098822     80.1258216    159.6840607       175
  0.65864875E-09    257.5899894     80.1363987    177.4535907       176
  0.65880649E-09    239.8100368     80.1259696    159.6840672       177
  0.65980998E-09    246.0718802     79.9841225    166.0877578       178
  0.66288055E-09    239.8100386     80.1259730    159.6840656       179
  0.66384367E-09    245.5677293     79.7731118    165.7946175       180
  0.66963225E-09    239.8100405     80.1259764    159.6840641       181
  0.66987454E-09    246.0718762     79.9841232    166.0877530       182
  0.67150988E-09    239.8100423     80.1259798    159.6840625       183
  0.67416581E-09    245.5677130     79.7731240    165.7945890       184
  0.67520925E-09    239.8100442     80.1259832    159.6840609       185
  0.67524685E-09    245.5677339     79.7731340    165.7945998       186
  0.68263599E-09    258.1040667     79.8042187    178.2998480       187
  0.68278743E-09    245.5675380     79.7731276    165.7944104       188
  0.70154995E-09    258.1040637     79.8042177    178.2998459       189
  0.70174389E-09    263.8663889     79.9660650    183.9003239       190
  0.70189164E-09    258.1041622     79.8042318    178.2999303       191
  0.71616493E-09    245.3251249     79.7294665    165.5956584       192
  0.71619455E-09    258.1041458     79.8042404    178.2999053       193
  0.71697318E-09    245.3251264     79.7294660    165.5956605       194
  0.71746368E-09    258.1041184     79.8042377    178.2998807       195
  0.72016246E-09    263.8663550     79.9660638    183.9002912       196
  0.72038580E-09    288.0314015    104.1069756    183.9244260       197
  0.72075881E-09    282.0003168     98.3197507    183.6805661       198
  0.72143382E-09    293.8343485    109.9747952    183.8595532       199
