 #  Elapsed Time    Sqr Displ.      Sqr Displ.     Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni        Atom NiV  ********
  0.00000000E+00      0.0000000      0.0000000      0.0000000         0
  0.10331138E-11      6.0218586      6.0217066      0.0001520         1
  0.20401330E-11     12.2723822     12.2719234      0.0004588         2
  0.70029778E-11     18.4208199     18.4200347      0.0007853         3
  0.11922797E-10     12.2723846     12.2719258      0.0004588         4
  0.17495094E-10     18.3646417     18.3638163      0.0008254         5
  0.18318427E-10     24.5559319     24.5541298      0.0018021         6
  0.25492644E-10     18.3651232     18.3642973      0.0008259         7
  0.26302302E-10     24.5296403     24.5272204      0.0024198         8
  0.33593411E-10     30.6919363     30.6897649      0.0021714         9
  0.37064722E-10     36.9297366     36.9267956      0.0029411        10
  0.37889889E-10     43.1244304     43.1217418      0.0026886        11
  0.51676988E-10     49.3619900     49.3605621      0.0014279        12
  0.52954165E-10     55.4714766     55.4681557      0.0033209        13
  0.56116652E-10     61.6707640     61.6646532      0.0061108        14
  0.64741783E-10     67.8808444     67.8735872      0.0072571        15
  0.67670730E-10     74.0037088     73.9967838      0.0069251        16
  0.69147123E-10     80.2488687     80.2424142      0.0064545        17
  0.74046091E-10     86.4848907     86.4795403      0.0053504        18
  0.94313777E-10     92.5276192     92.5213805      0.0062387        19
  0.98179537E-10     98.9513695     98.9473601      0.0040093        20
  0.10311981E-09    105.1627382    105.1597364      0.0030018        21
  0.10427239E-09    111.3312222    111.3279916      0.0032306        22
  0.10519608E-09    117.4167743    117.4150670      0.0017072        23
  0.10538335E-09    117.4832029    117.4803720      0.0028308        24
  0.10601975E-09    123.7438606    123.7419503      0.0019103        25
  0.10681699E-09    135.9129673    135.9113394      0.0016279        26
  0.10997775E-09    130.0843131    130.0815015      0.0028116        27
  0.11827411E-09    135.9125010    135.9108732      0.0016278        28
  0.12260597E-09    142.3274988    142.3264466      0.0010522        29
  0.13113570E-09    142.2734140    142.2710681      0.0023458        30
  0.13350690E-09    148.2625721    148.2577007      0.0048714        31
  0.14169266E-09    154.3681381    154.3603820      0.0077561        32
  0.14475362E-09    154.4964076    154.4904572      0.0059504        33
  0.14526912E-09    160.7332906    160.7244729      0.0088177        34
  0.15789346E-09    154.4971856    154.4912342      0.0059514        35
  0.15849254E-09    160.7637747    160.7564924      0.0072823        36
  0.16054382E-09    166.9667966    166.9613343      0.0054623        37
  0.16183611E-09    173.1993669    173.1933817      0.0059852        38
  0.16203242E-09    179.3954169    179.3910962      0.0043207        39
  0.16438630E-09    179.2734462    179.2681028      0.0053434        40
  0.16750235E-09    179.3954185    179.3910978      0.0043207        41
  0.17875610E-09    185.6217001    185.6177083      0.0039918        42
  0.19094147E-09    191.7454588    191.7413468      0.0041120        43
  0.19789195E-09    198.0298647    198.0248540      0.0050107        44
  0.21499285E-09    204.2154033    204.2091598      0.0062435        45
  0.22357734E-09    210.3640800    210.3575099      0.0065701        46
  0.22474644E-09    216.5396474    216.5320256      0.0076218        47
  0.23175832E-09    222.6964644    222.6869430      0.0095214        48
  0.23255485E-09    228.9797445    228.9684932      0.0112513        49
  0.23600171E-09    235.0694761    235.0566358      0.0128403        50
  0.23684341E-09    241.2962301    241.2827025      0.0135276        51
  0.24195233E-09    247.4457144    247.4278861      0.0178283        52
  0.24884468E-09    241.2954467    241.2819242      0.0135225        53
  0.25430121E-09    247.5226153    247.5066867      0.0159285        54
  0.26129167E-09    253.7175192    253.7020511      0.0154681        55
  0.26250792E-09    259.9186066    259.9027092      0.0158974        56
  0.26549077E-09    266.1041037    266.0875907      0.0165129        57
  0.26596227E-09    272.2413864    272.2226490      0.0187374        58
  0.28331366E-09    278.3532975    278.3321885      0.0211090        59
  0.28334806E-09    284.6089329    284.5858260      0.0231069        60
  0.28920178E-09    290.7805414    290.7547672      0.0257742        61
  0.29289806E-09    297.0042239    296.9831781      0.0210458        62
  0.30451998E-09    303.2535884    303.2344354      0.0191531        63
  0.30816253E-09    309.4067473    309.3847287      0.0220186        64
  0.31058805E-09    321.7372505    321.7138738      0.0233767        65
  0.31958586E-09    327.9574533    327.9277041      0.0297492        66
  0.32700708E-09    334.1943966    334.1634664      0.0309302        67
  0.32911415E-09    327.9574555    327.9277063      0.0297492        68
  0.33196873E-09    340.3833359    340.3562371      0.0270988        69
  0.33600909E-09    346.4808954    346.4482470      0.0326484        70
  0.34184996E-09    352.5450146    352.5045372      0.0404775        71
  0.34766175E-09    358.6643393    358.6198483      0.0444910        72
  0.35090044E-09    364.8375995    364.7943426      0.0432569        73
  0.35668659E-09    371.1206166    371.0712685      0.0493481        74
