# Time-averaged data for fix 1
# TimeStep c_msd_all[1] c_msd_all[2] c_msd_all[3] c_msd_all[4]
31000 0.0603324 0.07033 0.0626573 0.19332
32000 0.0621044 0.0659663 0.086612 0.214683
33000 0.0645165 0.0636728 0.0658134 0.194003
34000 0.0643438 0.0720628 0.0925537 0.22896
35000 0.0604517 0.0627931 0.0709506 0.194195
36000 0.071771 0.0692365 0.0636672 0.204675
37000 0.0652405 0.076744 0.093088 0.235072
38000 0.0631368 0.0854789 0.0734482 0.222064
39000 0.0733143 0.0775185 0.102815 0.253648
40000 0.0758778 0.0932461 0.0761325 0.245256
41000 0.0730382 0.0753651 0.0727101 0.221113
42000 0.0613682 0.0777071 0.0953129 0.234388
43000 0.0621559 0.0869545 0.082864 0.231974
44000 0.0702479 0.0833137 0.095446 0.249008
45000 0.0678678 0.077898 0.0739116 0.219677
46000 0.0613592 0.089469 0.0941312 0.244959
47000 0.0663565 0.0902319 0.080472 0.23706
48000 0.0709717 0.0909146 0.090044 0.25193
49000 0.0702312 0.100773 0.0976993 0.268704
50000 0.0665949 0.0961015 0.0980062 0.260703
51000 0.0618234 0.0979998 0.0961901 0.256013
52000 0.0630023 0.103367 0.10542 0.271789
53000 0.0724651 0.112101 0.0958637 0.28043
54000 0.0817738 0.125219 0.0993647 0.306357
55000 0.0670163 0.098195 0.107837 0.273048
56000 0.0724234 0.106104 0.104442 0.282969
57000 0.072599 0.104288 0.13185 0.308737
58000 0.0666843 0.102896 0.0939653 0.263546
59000 0.0735349 0.108052 0.112596 0.294182
60000 0.0678083 0.103535 0.118491 0.289834
61000 0.0627604 0.103103 0.103326 0.269189
62000 0.0669399 0.121852 0.129173 0.317965
63000 0.0655759 0.117 0.114351 0.296927
64000 0.0763396 0.128939 0.111026 0.316305
65000 0.0689231 0.112745 0.122057 0.303725
66000 0.0722742 0.114891 0.103948 0.291113
67000 0.0712878 0.126793 0.133016 0.331097
68000 0.0770124 0.129809 0.123711 0.330533
69000 0.0700643 0.12505 0.132378 0.327492
70000 0.0693862 0.122827 0.130954 0.323167
71000 0.066462 0.134599 0.143135 0.344196
72000 0.0715126 0.130203 0.144786 0.346502
73000 0.0744818 0.123897 0.139275 0.337654
74000 0.0718975 0.13342 0.149912 0.355229
75000 0.0731432 0.137129 0.143455 0.353728
76000 0.0753791 0.142865 0.146597 0.364841
