 #  Elapsed Time    Sqr Displ.      Sqr Displ.     Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni        Atom NiV  ********
  0.00000000E+00      0.0000000      0.0000000      0.0000000         0
  0.16576089E-11      6.0209741      6.0206701      0.0003041         1
  0.21902049E-11     12.2747194     12.2739461      0.0007734         2
  0.41090215E-11     18.4099789     18.4089870      0.0009920         3
  0.12567071E-10     24.5865990     24.5844340      0.0021650         4
  0.16258237E-10     30.7266950     30.7243930      0.0023020         5
  0.17732486E-10     36.9238912     36.9207889      0.0031022         6
  0.23160137E-10     43.0682071     43.0637992      0.0044079         7
  0.25573343E-10     49.3053966     49.3026818      0.0027149         8
  0.36391238E-10     55.5473175     55.5445916      0.0027259         9
  0.40151225E-10     61.7906042     61.7881968      0.0024074        10
  0.54766340E-10     55.5461221     55.5433850      0.0027372        11
  0.54825044E-10     61.7419908     61.7385138      0.0034770        12
  0.65158806E-10     67.9434457     67.9403295      0.0031162        13
  0.65938800E-10     74.1883659     74.1862535      0.0021124        14
  0.66089188E-10     67.9435216     67.9404054      0.0031162        15
  0.66846138E-10     74.1323984     74.1299899      0.0024084        16
  0.81480581E-10     80.3800399     80.3761613      0.0038786        17
  0.83201005E-10     86.6012308     86.5977664      0.0034644        18
  0.88394183E-10     92.8003249     92.7964023      0.0039226        19
  0.90413581E-10     98.9265836     98.9214151      0.0051685        20
  0.90638799E-10    105.1124303    105.1050261      0.0074042        21
  0.91186976E-10    111.3781929    111.3699506      0.0082423        22
  0.96671062E-10    117.6025724    117.5928308      0.0097415        23
  0.99188504E-10    111.3781918    111.3699495      0.0082423        24
  0.10253641E-09    117.3977867    117.3878121      0.0099745        25
  0.10747082E-09    123.6361814    123.6238721      0.0123093        26
  0.11078283E-09    129.7767587    129.7625995      0.0141592        27
  0.12055793E-09    123.6362362    123.6239269      0.0123093        28
  0.12548628E-09    117.4411209    117.4294388      0.0116821        29
  0.14079748E-09    123.5920616    123.5780857      0.0139760        30
  0.14370305E-09    129.8570264    129.8443123      0.0127141        31
  0.14649784E-09    135.9648386    135.9516409      0.0131977        32
  0.15396770E-09    142.2858333    142.2756352      0.0101982        33
  0.15677916E-09    148.4384946    148.4266837      0.0118109        34
  0.15961505E-09    154.7631757    154.7537278      0.0094479        35
  0.16259792E-09    160.8641110    160.8562109      0.0079000        36
  0.16266962E-09    167.2665448    167.2609839      0.0055610        37
  0.16344138E-09    173.2967511    173.2912433      0.0055078        38
  0.16827079E-09    179.5961193    179.5921857      0.0039336        39
