 #  Elapsed Time    Sqr Displ.      Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni   ********
  0.00000000E+00      0.0000000      0.0000000         0
  0.14264176E-10      6.0215567      6.0215567         1
  0.27116382E-10     12.1258977     12.1258977         2
  0.28077515E-10     18.2650744     18.2650744         3
  0.30354225E-10     24.4835862     24.4835862         4
  0.39466628E-10     30.6630432     30.6630432         5
  0.42422582E-10     36.8777212     36.8777212         6
  0.44409854E-10     43.0044206     43.0044206         7
  0.45319308E-10     36.8777237     36.8777237         8
  0.47336261E-10     43.0301640     43.0301640         9
  0.47665323E-10     36.8777263     36.8777263        10
  0.64211729E-10     43.0301652     43.0301652        11
  0.66838329E-10     49.1303275     49.1303275        12
  0.79010420E-10     55.3745905     55.3745905        13
  0.82887691E-10     61.5710161     61.5710161        14
  0.90170219E-10     61.4179086     61.4179086        15
  0.11011187E-09     67.7884247     67.7884247        16
  0.12086167E-09     74.0032578     74.0032578        17
  0.12155921E-09     80.1500095     80.1500095        18
  0.12276091E-09     86.4006256     86.4006256        19
  0.12383220E-09     92.6082682     92.6082682        20
  0.13109187E-09     98.7073720     98.7073720        21
  0.13627194E-09    104.9124787    104.9124787        22
  0.13741917E-09    111.0640870    111.0640870        23
  0.13984091E-09    117.3668685    117.3668685        24
  0.14079020E-09    123.7060481    123.7060481        25
  0.14263519E-09    129.7937190    129.7937190        26
  0.14487946E-09    135.8525156    135.8525156        27
  0.14561571E-09    142.1295065    142.1295065        28
  0.14712333E-09    141.9215813    141.9215813        29
  0.15184062E-09    148.1172714    148.1172714        30
  0.15428708E-09    148.5308306    148.5308306        31
  0.15770240E-09    148.1172353    148.1172353        32
  0.16887062E-09    141.9198278    141.9198278        33
  0.16965828E-09    142.0176290    142.0176290        34
  0.17924636E-09    148.2300362    148.2300362        35
  0.19103636E-09    154.4973750    154.4973750        36
  0.19866075E-09    160.4173762    160.4173762        37
  0.20023481E-09    166.8114796    166.8114796        38
  0.21064102E-09    173.2093827    173.2093827        39
  0.22791252E-09    179.1106081    179.1106081        40
  0.23021421E-09    185.5430552    185.5430552        41
  0.23026813E-09    191.5292859    191.5292859        42
  0.23162462E-09    197.8050262    197.8050262        43
  0.23458627E-09    203.6540959    203.6540959        44
  0.24442766E-09    203.7738100    203.7738100        45
  0.26822405E-09    210.1876065    210.1876065        46
  0.27011450E-09    203.7737022    203.7737022        47
  0.27065460E-09    222.1575345    222.1575345        48
  0.27264746E-09    228.6787914    228.6787914        49
  0.28186707E-09    234.8963404    234.8963404        50
  0.28541889E-09    241.1311913    241.1311913        51
  0.29667584E-09    247.4072382    247.4072382        52
  0.29735443E-09    253.5744441    253.5744441        53
  0.29925842E-09    253.4096068    253.4096068        54
  0.30053778E-09    259.4904514    259.4904514        55
  0.31182012E-09    265.9177472    265.9177472        56
  0.31536415E-09    277.9913065    277.9913065        57
  0.31565429E-09    284.2489329    284.2489329        58
  0.31992292E-09    284.4563536    284.4563536        59
  0.32025319E-09    296.5423141    296.5423141        60
  0.32033439E-09    296.7427144    296.7427144        61
  0.32187625E-09    303.2331700    303.2331700        62
  0.32321517E-09    296.7427130    296.7427130        63
  0.32393625E-09    309.3148438    309.3148438        64
  0.32483647E-09    315.4973527    315.4973527        65
  0.32971816E-09    321.6853179    321.6853179        66
  0.33713295E-09    327.9382748    327.9382748        67
  0.34004064E-09    334.2064828    334.2064828        68
  0.34694170E-09    340.4641993    340.4641993        69
  0.35378220E-09    352.5683235    352.5683235        70
  0.35451402E-09    358.8955974    358.8955974        71
  0.35888100E-09    365.1910894    365.1910894        72
  0.36208941E-09    371.3782005    371.3782005        73
  0.37170553E-09    377.6751604    377.6751604        74
  0.37258213E-09    383.8288886    383.8288886        75
  0.37365710E-09    377.6753178    377.6753178        76
  0.37683419E-09    383.8185089    383.8185089        77
  0.37684089E-09    389.9589986    389.9589986        78
  0.38553355E-09    396.0983970    396.0983970        79
  0.39039577E-09    402.1929715    402.1929715        80
  0.39328057E-09    408.3964032    408.3964032        81
  0.39748125E-09    414.6608099    414.6608099        82
  0.40447407E-09    420.8676768    420.8676768        83
  0.41058872E-09    414.6607775    414.6607775        84
  0.41873416E-09    420.8183871    420.8183871        85
  0.42204417E-09    414.6607376    414.6607376        86
  0.42272921E-09    420.8676753    420.8676753        87
  0.42566322E-09    427.0826740    427.0826740        88
  0.42682769E-09    439.2970418    439.2970418        89
  0.42753786E-09    445.6693167    445.6693167        90
  0.43137859E-09    451.7134948    451.7134948        91
  0.43306494E-09    457.8595029    457.8595029        92
  0.43518777E-09    464.1069481    464.1069481        93
  0.43947856E-09    470.2258195    470.2258195        94
  0.44873766E-09    476.4806605    476.4806605        95
  0.45865622E-09    482.6057650    482.6057650        96
  0.46060951E-09    488.8222479    488.8222479        97
  0.46518043E-09    494.9897825    494.9897825        98
  0.46630790E-09    488.8222014    488.8222014        99
  0.47572463E-09    495.0380241    495.0380241       100
