# Time-averaged data for fix 1
# TimeStep c_msd_all[1] c_msd_all[2] c_msd_all[3] c_msd_all[4]
31000 0.0825017 0.101347 0.0831067 0.266955
32000 0.077747 0.11527 0.114775 0.307793
33000 0.0979919 0.120094 0.122251 0.340336
34000 0.0965603 0.140687 0.122938 0.360185
35000 0.0863445 0.123586 0.116033 0.325963
36000 0.0905001 0.134867 0.158066 0.383433
37000 0.0937142 0.144846 0.131136 0.369696
38000 0.0907458 0.122837 0.123942 0.337524
39000 0.0930028 0.141748 0.135025 0.369776
40000 0.0915213 0.142309 0.219087 0.452917
41000 0.0866866 0.145126 0.208451 0.440264
42000 0.0876464 0.146862 0.144405 0.378913
43000 0.0909099 0.126283 0.122107 0.3393
44000 0.0809012 0.130258 0.120467 0.331626
45000 0.0754796 0.118724 0.123686 0.31789
46000 0.0936667 0.134294 0.128738 0.356699
47000 0.0880041 0.134927 0.135561 0.358492
48000 0.0968762 0.137002 0.159334 0.393212
49000 0.104557 0.150374 0.146861 0.401792
50000 0.106344 0.164596 0.138761 0.4097
51000 0.0950527 0.153331 0.151249 0.399632
52000 0.0970814 0.171056 0.161844 0.429982
53000 0.10141 0.142624 0.162537 0.406571
54000 0.0991583 0.178482 0.201867 0.479507
55000 0.10473 0.174863 0.182493 0.462087
56000 0.102592 0.190283 0.210137 0.503012
57000 0.0980653 0.185766 0.173666 0.457497
58000 0.0905173 0.188105 0.183078 0.4617
59000 0.10451 0.171268 0.171606 0.447385
60000 0.0967837 0.214043 0.196722 0.507549
61000 0.122898 0.20683 0.175593 0.505321
62000 0.0982835 0.225761 0.204355 0.5284
63000 0.102641 0.188245 0.196097 0.486984
64000 0.105188 0.195887 0.18345 0.484525
65000 0.0977967 0.237382 0.26146 0.596638
66000 0.119573 0.21339 0.241592 0.574555
67000 0.113501 0.21161 0.187937 0.513048
68000 0.101982 0.20691 0.209849 0.51874
69000 0.115072 0.204998 0.207336 0.527406
70000 0.112303 0.234881 0.223868 0.571052
71000 0.115863 0.217949 0.196881 0.530692
72000 0.102821 0.218267 0.222833 0.543921
73000 0.102629 0.207101 0.234578 0.544309
74000 0.124969 0.208667 0.256144 0.589781
75000 0.112727 0.229207 0.279636 0.621571
76000 0.13029 0.229503 0.271195 0.630988
77000 0.117078 0.230752 0.248791 0.596622
78000 0.138569 0.234016 0.278481 0.651066
79000 0.106543 0.221127 0.283945 0.611615
80000 0.11572 0.244607 0.289196 0.649523
81000 0.119246 0.251888 0.296993 0.668127
82000 0.118303 0.251341 0.376631 0.746275
83000 0.114636 0.289428 0.345466 0.74953
84000 0.123124 0.26694 0.32132 0.711384
85000 0.104216 0.27523 0.315051 0.694497
86000 0.130947 0.233689 0.288997 0.653632
87000 0.106461 0.242705 0.29935 0.648515
88000 0.107069 0.242173 0.370806 0.720049
89000 0.11663 0.265386 0.351789 0.733805
90000 0.113519 0.262552 0.290473 0.666545
91000 0.125571 0.244875 0.287003 0.657448
92000 0.105968 0.249177 0.361373 0.716518
93000 0.107351 0.239108 0.317268 0.663727
94000 0.130237 0.232272 0.308208 0.670717
95000 0.108887 0.247634 0.347251 0.703772
96000 0.129714 0.254074 0.308032 0.691821
97000 0.117485 0.237193 0.312299 0.666977
98000 0.119854 0.25418 0.320513 0.694547
99000 0.116561 0.244681 0.353653 0.714895
100000 0.12299 0.25752 0.337207 0.717717
101000 0.118774 0.235952 0.305209 0.659935
102000 0.129956 0.254678 0.332314 0.716948
103000 0.127667 0.273263 0.381261 0.78219
104000 0.118611 0.263295 0.314018 0.695924
105000 0.126609 0.260846 0.31263 0.700085
106000 0.133837 0.260516 0.326878 0.721232
107000 0.151195 0.250548 0.320416 0.722159
108000 0.127093 0.254009 0.32665 0.707753
109000 0.119016 0.257665 0.365693 0.742374
110000 0.146878 0.275434 0.379342 0.801654
111000 0.115773 0.251869 0.322434 0.690077
112000 0.129012 0.266894 0.313901 0.709807
113000 0.15289 0.275913 0.366033 0.794836
114000 0.132102 0.267986 0.366448 0.766537
115000 0.13884 0.273372 0.34992 0.762132
116000 0.131044 0.270453 0.352497 0.753993
117000 0.131758 0.276132 0.387219 0.79511
118000 0.14095 0.284133 0.38438 0.809463
119000 0.130574 0.301915 0.383355 0.815844
120000 0.149494 0.297243 0.368419 0.815157
121000 0.13672 0.324862 0.397624 0.859206
122000 0.132595 0.295846 0.362677 0.791118
123000 0.133624 0.270752 0.349587 0.753964
124000 0.152372 0.301766 0.476442 0.93058
125000 0.129719 0.292926 0.404318 0.826962
126000 0.146884 0.319811 0.383218 0.849913
127000 0.139902 0.285393 0.357264 0.782558
128000 0.146457 0.305051 0.396396 0.847904
129000 0.140946 0.3221 0.369828 0.832874
130000 0.13672 0.312332 0.385446 0.834498
