# Time-averaged data for fix 1
# TimeStep c_msd_all[1] c_msd_all[2] c_msd_all[3] c_msd_all[4]
1000 0.0172745 0.0184965 0.0170675 0.0528386
2000 0.0272767 0.0231205 0.0209755 0.0713727
3000 0.0274662 0.0313835 0.0253302 0.0841799
4000 0.0367583 0.0409167 0.0313464 0.109021
5000 0.0298804 0.0310642 0.0291396 0.0900841
6000 0.0324418 0.0310744 0.0305432 0.0940593
7000 0.0383255 0.0357387 0.0312578 0.105322
8000 0.0335008 0.0346344 0.0355807 0.103716
9000 0.0371177 0.0353045 0.0340883 0.10651
10000 0.0366418 0.0347476 0.0332769 0.104666
11000 0.0344783 0.0331448 0.0267048 0.0943279
12000 0.0431456 0.0331662 0.0305419 0.106854
13000 0.0448076 0.0413801 0.0325213 0.118709
14000 0.040243 0.0503685 0.0301898 0.120801
15000 0.0415909 0.0350295 0.0285599 0.10518
16000 0.042247 0.0368174 0.0325173 0.111582
17000 0.03827 0.038104 0.0308996 0.107274
18000 0.0417118 0.0305166 0.0322741 0.104503
19000 0.0456291 0.0375681 0.0294705 0.112668
20000 0.0556912 0.0334477 0.0297042 0.118843
21000 0.0501253 0.0336543 0.0320681 0.115848
22000 0.0494631 0.0441426 0.0341926 0.127798
23000 0.0327445 0.0406211 0.0403022 0.113668
24000 0.0343494 0.0351699 0.0341472 0.103666
25000 0.037817 0.0364271 0.0331954 0.10744
26000 0.0465947 0.0339809 0.0309211 0.111497
27000 0.0420512 0.0350771 0.0329563 0.110085
28000 0.0356901 0.0338432 0.0306961 0.100229
29000 0.0363296 0.0350331 0.0318355 0.103198
30000 0.0308338 0.0362628 0.0324615 0.0995581
31000 0.032027 0.0402894 0.0336222 0.105939
32000 0.0301826 0.0365027 0.0345547 0.10124
33000 0.0355082 0.0393605 0.0323668 0.107236
34000 0.0330958 0.0371733 0.0331176 0.103387
35000 0.0324975 0.0407975 0.0321458 0.105441
36000 0.0342914 0.0422744 0.0323953 0.108961
37000 0.0360619 0.0379176 0.035473 0.109452
38000 0.0368048 0.0369059 0.0372116 0.110922
39000 0.0382619 0.0364288 0.0374821 0.112173
40000 0.0330096 0.0328224 0.0341353 0.0999674
41000 0.0316712 0.0342717 0.0362343 0.102177
